floor,normalization,aggregation,weights,components,repeat,spearman_vs_baseline,top20_overlap
0.01,minmax,geometric,entropy,HEVD,4,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,5,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,6,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,7,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,8,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,9,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,10,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,11,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,12,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,13,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,14,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,15,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,16,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,17,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,18,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,19,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,20,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,21,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,22,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,23,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,24,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,25,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,26,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,27,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,28,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,29,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,30,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,31,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,32,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,33,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,34,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,35,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,36,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,37,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,38,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,39,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEV,0,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,1,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,2,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,3,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,4,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,5,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,6,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,7,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,8,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,9,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,10,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,11,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,12,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,13,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,14,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,15,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,16,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,17,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,18,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,19,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,20,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,21,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,22,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,23,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,24,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,25,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,26,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,27,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,28,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,29,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,30,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,31,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,32,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,33,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,34,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,35,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,36,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,37,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,38,0.7599940981770361,7
0.01,minmax,geometric,entropy,HEV,39,0.7599940981770361,7
0.01,minmax,geometric,dirichlet,HEVD,0,0.9464136937457324,5
0.01,minmax,geometric,dirichlet,HEVD,1,0.8826341581238405,8
0.01,minmax,geometric,dirichlet,HEVD,2,0.9435575819859999,17
0.01,minmax,geometric,dirichlet,HEVD,3,0.7100555014241349,5
0.01,minmax,geometric,dirichlet,HEVD,4,0.34271536321714996,4
0.01,minmax,geometric,dirichlet,HEVD,5,0.9585504025446557,11
0.01,minmax,geometric,dirichlet,HEVD,6,0.8242697252646907,10
0.01,minmax,geometric,dirichlet,HEVD,7,0.7653064641793348,5
0.01,minmax,geometric,dirichlet,HEVD,8,0.7321545574147058,5
0.01,minmax,geometric,dirichlet,HEVD,9,0.8848333170015565,14
0.01,minmax,geometric,dirichlet,HEVD,10,0.8418661674988931,6
0.01,minmax,geometric,dirichlet,HEVD,11,0.7620238883746339,2
0.01,minmax,geometric,dirichlet,HEVD,12,0.9646082598237605,13
0.01,minmax,geometric,dirichlet,HEVD,13,0.5551471277338136,5
0.01,minmax,geometric,dirichlet,HEVD,14,0.9718916185271687,12
0.01,minmax,geometric,dirichlet,HEVD,15,0.8696575043692496,5
0.01,minmax,geometric,dirichlet,HEVD,16,0.9336315789384347,16
0.01,minmax,geometric,dirichlet,HEVD,17,0.8940873211648179,5
0.01,minmax,geometric,dirichlet,HEVD,18,0.7778798514944446,1
0.01,minmax,geometric,dirichlet,HEVD,19,0.8628120702092346,10
0.01,minmax,geometric,dirichlet,HEVD,20,0.38783577885005505,2
0.01,minmax,geometric,dirichlet,HEVD,21,0.8248541968742726,11
0.01,minmax,geometric,dirichlet,HEVD,22,0.8345937604113174,14
0.01,minmax,geometric,dirichlet,HEVD,23,0.5479024724621802,0
0.01,minmax,geometric,dirichlet,HEVD,24,0.922842521603537,6
0.01,minmax,geometric,dirichlet,HEVD,25,0.9648477420127064,14
0.01,minmax,geometric,dirichlet,HEVD,26,0.8896402719652057,10
0.01,minmax,geometric,dirichlet,HEVD,27,0.812167719842363,7
0.01,minmax,geometric,dirichlet,HEVD,28,0.8988944186707429,12
0.01,minmax,geometric,dirichlet,HEVD,29,0.9664682160022448,16
0.01,minmax,geometric,dirichlet,HEVD,30,0.5366380305574382,1
0.01,minmax,geometric,dirichlet,HEVD,31,0.835080556081958,12
0.01,minmax,geometric,dirichlet,HEVD,32,0.8868954799366479,11
0.01,minmax,geometric,dirichlet,HEVD,33,0.5716832942760376,5
0.01,minmax,geometric,dirichlet,HEVD,34,0.899594615554418,13
0.01,minmax,geometric,dirichlet,HEVD,35,0.8997014364737133,11
0.01,minmax,geometric,dirichlet,HEVD,36,0.9648724088331754,17
0.01,minmax,geometric,dirichlet,HEVD,37,0.8501349502815603,3
0.01,minmax,geometric,dirichlet,HEVD,38,0.9369482921433803,9
0.01,minmax,geometric,dirichlet,HEVD,39,0.8700794847233696,12
0.01,minmax,geometric,dirichlet,HEV,0,0.8102797743302159,6
