score,unit,stratum,set,variant,k,mu,se,ci_lo,ci_hi,pi_lo,pi_hi,tau2,tau2_lo,tau2_hi,q,q_p,i2,i2_lo,i2_hi,tau,tau2_outside_qprofile,auc_mu,auc_ci_lo,auc_ci_hi,auc_pi_lo,auc_pi_hi,fe_max_share,fe_max_event,k_eff_fe,re_max_share,re_max_event,k_eff_re,mean_equal,mean_unit_weighted,median,events,n_units_total,n_pos_cells_total,n_clusters_total,flag,run_id
slope_neg,cell_gate,ALL,development,main,6,2.1634634778590973,0.23506655433338045,1.5592056631240927,2.7677212925941017,0.5969508244043711,3.7299761313138236,0.2630825569912465,0.07064711507496321,1.5663553031720883,44.74024025971974,1.6384364545267782e-08,0.8882437829798252,0.5626783715615293,0.966132617762334,0.5129157406350935,False,0.8969202026358881,0.8262393412614546,0.9409064141295989,0.6449583934787229,0.9765687861646812,0.477302106332287,2025,3.4643104608457764,0.19773308849766727,2025,5.932537938250121,0.8866573444947551,0.8707890574650158,0.8850293134433337,2006;2012;2014;2016;2019;2025,696,696,53,,m2_20260926T165115Z_1ffdde7
slope_neg,cluster_gate,ALL,development,main,6,1.7777685566196175,0.3146433409731442,0.9689520996101296,2.5865850136291053,-0.43298264467944536,3.9885197579186804,0.5350175229320536,0.17838338614974034,3.2572230429530444,86.66725582350932,3.365041911866179e-17,0.9423080844952322,0.7800280171382891,0.9847907419022711,0.7314489202480605,False,0.8554211091034234,0.7249105797491227,0.9299932077817716,0.3934143289260879,0.981809891835951,0.37400649900617466,2025,4.435337028746642,0.17810539395949676,2025,5.989502778135847,0.8355166666666668,0.8167320754716981,0.8624499999999999,2006;2012;2014;2016;2019;2025,53,696,53,,m2_20260926T165115Z_1ffdde7
slope_neg,object,ALL,development,main,6,1.8812740913091037,0.27156810166501344,1.1831860620307841,2.5793621205874233,-0.043840984136302774,3.80638916675451,0.4070183834504659,0.13853703176139184,2.5503125471986716,77.83194834697551,2.3833753515686465e-15,0.9357590281858299,0.8170743784496879,0.9879846721675575,0.6379799240183549,False,0.8677574026787479,0.7655201825438187,0.9295214922530333,0.48904150912377814,0.9782550561703041,0.29474873063924695,2014,5.085545576744923,0.1739674422154508,2014,5.992878978191723,0.8543652545945166,0.8302963520185864,0.8673775317541229,2006;2012;2014;2016;2019;2025,142,696,53,,m2_20260926T165115Z_1ffdde7
slope_neg,cell_gate,FLAT,development,main,6,0.9240911732488527,0.22046345621689725,0.3573718172760947,1.4908105292216107,-0.47677403769451276,2.3249563841922183,0.20597014083502319,0.04288488954472282,1.1515756093978644,30.324170968479663,1.2732427211987895e-05,0.8351150306731475,0.40622447906873416,0.9483763449808832,0.4538393337239768,False,0.7158749765497451,0.5884040765824614,0.8161998974136936,0.38301417805773125,0.9109229332390338,0.4358738129639013,2025,3.642899400749949,0.2142687167934634,2025,5.737158531541391,0.7033145683574192,0.6804558361103139,0.6932465243647756,2006;2012;2014;2016;2019;2025,633,633,49,,m2_20260926T165115Z_1ffdde7
slope_neg,cluster_gate,FLAT,development,main,6,0.5339747305848824,0.28683626548349406,-0.203361363268743,1.2713108244385078,-1.4110323487957719,2.4789818099655365,0.4084793436181535,0.11817189452105567,2.445636491736307,52.829305725405455,3.645978509217795e-10,0.9053555610594459,0.6569240220791206,0.9753864543812932,0.6391238875352364,False,0.6304096766862567,0.44933414969867963,0.7809670568610325,0.1960712789202213,0.9226551684282934,0.35045532610610985,2025,4.264919771512977,0.18894642990182592,2025,5.9108803451332514,0.6126166666666667,0.6160632653061224,0.61205,2006;2012;2014;2016;2019;2025,49,633,49,,m2_20260926T165115Z_1ffdde7
slope_neg,object,FLAT,development,main,6,0.5094412565458305,0.24793376970124864,-0.1278927882890365,1.1467753013806976,-1.199320807026763,2.2182033201184237,0.3173070711247764,0.09544986360185358,2.035019126065742,48.87018156745929,2.359050372370592e-09,0.8976881231124931,0.693094930448162,0.9796534569246742,0.563300160771126,False,0.6246754828282355,0.4680703127358285,0.7589214197700405,0.23159606319043893,0.9018723067263706,0.3846256061359495,2014,4.338107912928442,0.1839250886816549,2014,5.9645369605054865,0.6143173385292618,0.5907247315226698,0.5951806583313981,2006;2012;2014;2016;2019;2025,131,633,49,,m2_20260926T165115Z_1ffdde7
slope_neg,object,URBAN,development,main,5,0.0711005218221838,0.27905847454587196,-0.7036900138946653,0.845891057539033,-1.8805309867708553,2.0227320304152228,0.2982005089003389,0.05291980186196291,2.9858319961356563,19.057216406389806,0.0007658593201704892,0.7901057575932854,0.3776785665924306,0.9716244875680319,0.5460773836191524,False,0.5177676460444219,0.33099461260094376,0.6997044883052825,0.13232789521208735,0.8831632115249181,0.28182594676263667,2014,4.5858490465869295,0.21710887353520722,2014,4.977939368748543,0.5172397037170069,0.5159154045162698,0.5254148913022568,2006;2012;2014;2016;2019,77,351,31,,m2_20260926T165115Z_1ffdde7
slope_neg,cell_gate,AGRI,development,main,4,0.6869005606202957,0.3647159408879067,-0.4737883379364941,1.8475894591770854,-2.590217858152483,3.964018979393074,0.4470940554480279,0.09889569495252319,6.581280223798318,29.935752212998075,1.4236756606007063e-06,0.8997853810836461,0.5870574192448115,0.9895405300339617,0.66865092196753,False,0.6652770867244824,0.383719987662262,0.8638438293863661,0.06977064196902161,0.9813671222216211,0.6135722621988453,2025,2.320622119055001,0.28386151306866697,2025,3.966996558769593,0.642631217725403,0.6271253515861469,0.6157860748977577,2006;2012;2014;2025,216,216,33,,m2_20260926T165115Z_1ffdde7
slope_neg,cluster_gate,AGRI,development,main,4,0.5776074272142476,0.378236408779412,-0.6261096344295703,1.7813244888580657,-2.8518028186565,4.007017673084995,0.4922188406039135,0.11686018480941472,6.992172021059396,34.91417779246986,1.270186278744005e-07,0.9140750208172731,0.6314959671407724,0.9903414686698476,0.7015830960078169,False,0.6405166897563644,0.3483931888993671,0.8558603364112006,0.05458820200942233,0.9821373227652531,0.603775359760686,2025,2.389604525492705,0.27827166881419996,2025,3.9809459439231474,0.620125,0.6320636363636364,0.5888500000000001,2006;2012;2014;2025,33,216,33,,m2_20260926T165115Z_1ffdde7
slope_neg,object,AGRI,development,main,4,0.6204870331744802,0.39965856649479975,-0.6514048951418784,1.8923789614908388,-3.109559371772508,4.350533438121468,0.5918195692013668,0.1641248098730916,8.439976537885341,67.87228649097851,1.2183427688472893e-14,0.9557993379168277,0.8159005143403326,0.9956313532459625,0.7692981016493976,False,0.6503293085600903,0.3426730172880856,0.8690265403524231,0.04271465792769153,0.9872643594339034,0.4224019817865824,2025,3.203441835619782,0.26102547160119105,2025,3.9905309122472286,0.62891352242858,0.6213302102035829,0.5744977120491392,2006;2012;2014;2025,78,216,33,,m2_20260926T165115Z_1ffdde7
