test_event,model,baseline,aligned,se_diff_draw,corr_draw,run_id
2019,rf_F1_wf,relelev_neg,True,0.6184484413143364,-0.8859972668692806,m2_20260926T165115Z_1ffdde7
2019,rf_F1_wf,twi,True,0.20963883554685797,0.9558945421472782,m2_20260926T165115Z_1ffdde7
2019,rf_F1_wf,impervious,True,0.41626392559828596,0.6049313055719276,m2_20260926T165115Z_1ffdde7
2019,rf_F1_wf,hand_neg,True,0.17853410146224497,0.9874497700008624,m2_20260926T165115Z_1ffdde7
2019,rf_F1_wf,hand_acc_neg,True,0.17797004046941278,0.9827540705378169,m2_20260926T165115Z_1ffdde7
2019,logit_F1_wf,slope_neg,True,0.2674190662061821,0.9276731118461822,m2_20260926T165115Z_1ffdde7
2019,L1,slope_neg,True,0.1700017682506012,0.933415528267057,m2_20260926T165115Z_1ffdde7
2019,z_sensitivity,slope_neg,True,0.26372110328213627,0.7938920439862304,m2_20260926T165115Z_1ffdde7
2019,relelev_neg,slope_neg,True,0.42553951348789515,-0.9991438068458522,m2_20260926T165115Z_1ffdde7
2019,twi,slope_neg,True,0.18894867990896103,0.7639737265622998,m2_20260926T165115Z_1ffdde7
2019,impervious,slope_neg,True,0.2534400187188292,0.23431510181214382,m2_20260926T165115Z_1ffdde7
2019,hand_neg,slope_neg,True,0.1195314260750185,0.9166543750578294,m2_20260926T165115Z_1ffdde7
2019,hand_acc_neg,slope_neg,True,0.09634901700144446,0.9524998119752374,m2_20260926T165115Z_1ffdde7
2025,rf_F1_wf,slope_neg,True,0.19339752536185373,-0.5938397673655412,m2_20260926T165115Z_1ffdde7
2025,rf_F1_wf,relelev_neg,True,0.079942947683972,0.43297138227527826,m2_20260926T165115Z_1ffdde7
2025,rf_F1_wf,twi,True,0.10838283655238325,0.2700709970552178,m2_20260926T165115Z_1ffdde7
2025,rf_F1_wf,impervious,True,0.1492575879901643,0.12111799222442554,m2_20260926T165115Z_1ffdde7
2025,rf_F1_wf,hand_neg,True,0.178401174550862,0.3053489567237656,m2_20260926T165115Z_1ffdde7
2025,rf_F1_wf,hand_acc_neg,True,0.1760177596976771,0.34969350771245034,m2_20260926T165115Z_1ffdde7
2025,logit_F1_wf,slope_neg,True,0.17232140089357526,-0.20081853904832653,m2_20260926T165115Z_1ffdde7
2025,L1,slope_neg,True,0.22005353472165498,-0.4215068700936453,m2_20260926T165115Z_1ffdde7
2025,z_sensitivity,slope_neg,True,0.17777579094527876,-0.3328121345555736,m2_20260926T165115Z_1ffdde7
2025,relelev_neg,slope_neg,True,0.14951830644505185,-0.5523737520393825,m2_20260926T165115Z_1ffdde7
2025,twi,slope_neg,True,0.17951154135647548,-0.33876659120263336,m2_20260926T165115Z_1ffdde7
2025,impervious,slope_neg,True,0.21923399984817432,-0.4388051943153588,m2_20260926T165115Z_1ffdde7
2025,hand_neg,slope_neg,True,0.2541533536937485,-0.30910476683651383,m2_20260926T165115Z_1ffdde7
2025,hand_acc_neg,slope_neg,True,0.26461360432560693,-0.4051596531677309,m2_20260926T165115Z_1ffdde7
