model,baseline,unit,stratum,set,omitted,k,mu,se,ci_lo,ci_hi,pi_lo,pi_hi,tau2,tau2_lo,tau2_hi,q,q_p,i2,i2_lo,i2_hi,tau,tau2_outside_qprofile,fe_max_share,fe_max_event,k_eff_fe,re_max_share,re_max_event,k_eff_re,mean_equal,mean_unit_weighted,median,events,n_units_total,n_pos_cells_total,n_clusters_total,flag,run_id
rf_F1_wf,slope_neg,cell_gate,ALL,combined,2012,6,-0.05231199823402348,0.356389999435554,-0.9684416571854949,0.863817660717448,-2.4771964538354356,2.3725724573673888,0.6363368775554399,0.18510119800999578,4.596620085839169,52.106890384889006,5.129205132997592e-10,0.9040434007274785,0.6972900720076882,0.9828186536434892,0.7977072630705075,False,0.476403933960461,2025,3.4324476108382367,0.19152214648807198,2025,5.877001629739181,0.0017988711578050636,-0.05312596026179086,0.034437356229760185,2014;2016;2019;2023-08-10;2024-09-20;2025,1655,1655,91,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,ALL,combined,2014,6,-0.20702925436713274,0.36334268667962283,-1.141031364857068,0.7269728561228025,-2.627533703667832,2.213475194933567,0.6318872139083027,0.1738706043379605,4.88942105249324,42.89922489941118,3.872998274603782e-08,0.8834477776294595,0.6599852365386679,0.9820093073876375,0.794913337357163,False,0.5101735860125578,2025,3.1327606398856642,0.19540866180133126,2025,5.8714546142921655,-0.01994987724154018,-0.06472828978037806,-0.024991474765587995,2012;2016;2019;2023-08-10;2024-09-20;2025,1729,1729,92,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,ALL,combined,2016,6,-0.20721220199231766,0.36187130185494676,-1.1374319973787095,0.7230075933940743,-2.6186050960956075,2.204180692110972,0.6276546363144043,0.17500160608943685,4.874535966832652,44.91474743272677,1.509945752815557e-08,0.888677989172955,0.6720559259781619,0.9827828720514977,0.792246575451358,False,0.49472748972742964,2025,3.251973659075791,0.1944086001559611,2025,5.86846981280602,-0.018412310288483075,-0.06613293726051733,-0.02037877390641668,2012;2014;2019;2023-08-10;2024-09-20;2025,1691,1691,99,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,ALL,combined,2019,6,-0.2841527976773252,0.30551107457100307,-1.0694940165552773,0.5011884212006268,-2.3645025661984223,1.7961969708437717,0.46809158711013815,0.133804566087266,3.0351474592864784,45.4216406114642,1.1909280123344113e-08,0.889920312593508,0.6400625878760134,0.975808636748335,0.6841721911259899,False,0.4579351797687575,2025,3.6693228608599893,0.18971010732780078,2025,5.961800051844935,-0.023197916075119007,-0.06096329625462457,-0.024991474765587995,2012;2014;2016;2023-08-10;2024-09-20;2025,1805,1805,102,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,ALL,combined,2023-08-10,6,-0.25513902572381914,0.3469806475491228,-1.1470811756309203,0.6368031241832819,-2.5279491239146448,2.017671072467006,0.555467419738639,0.14764447663870836,4.568383099883713,39.39994279870564,1.9728941881356926e-07,0.8730962624604557,0.6297060374234194,0.9813496395487604,0.7452968668514842,False,0.49996190014752395,2025,3.208536268365375,0.19787858075386397,2025,5.846385288315489,-0.02361692993431867,-0.05852390027832639,-0.024991474765587995,2012;2014;2016;2019;2024-09-20;2025,1843,1843,102,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,ALL,combined,2024-09-20,6,-0.015514362571442904,0.3492213132893515,-0.9132163271301086,0.8821876019872228,-2.3633863072711345,2.3323575821282483,0.5931508174947715,0.16458364223980415,4.30292858718167,51.24439957298154,7.706847144691413e-10,0.9024283620909819,0.6392602076977647,0.9788716939032157,0.7701628512819685,False,0.5226340596288072,2025,3.054721043386884,0.1976405029806265,2025,5.862670629357099,-0.00014026690975745457,-0.011008021330678045,0.034437356229760185,2012;2014;2016;2019;2023-08-10;2025,607,607,53,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,ALL,combined,2025,6,0.06028971812605444,0.2843207628283694,-0.6705800702948126,0.7911595065469215,-1.6790804399170682,1.799659876169177,0.31612185779988833,0.04753373235947537,3.1027416503122476,18.376974585611883,0.0025092324647773044,0.7279203942571313,0.2826626230382407,0.962576315091239,0.5622471501038385,False,0.26074568768065043,2024-09-20,5.050290141185009,0.1955985478772786,2024-09-20,5.772449414358835,0.0028692229311037356,-0.05681589972541471,0.034437356229760185,2012;2014;2016;2019;2023-08-10;2024-09-20,1836,1836,91,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,ALL,development,2012,4,0.027058047555130374,0.4988746214299458,-1.560583648214409,1.6146997433246697,-4.481440905652984,4.535557000763245,0.8490963415004256,0.19390432195941792,13.720447679007254,39.18975337875006,1.5822143267341376e-08,0.9234493779277851,0.6870592500085255,0.993604116897063,0.9214642377761741,False,0.6487192685511182,2025,2.1132362202405406,0.28508026079107274,2025,3.9188953143776604,0.0073871146507482055,0.028867701292763486,0.034437356229760185,2014;2016;2019;2025,383,383,36,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,ALL,development,2014,4,-0.20942367608616197,0.5149076731877091,-1.848089698184618,1.4292423460122938,-4.751981564137542,4.333134211965217,0.8577084809529651,0.17160708652072076,15.38885579392028,26.902878735091516,6.169924330277674e-06,0.8884877700434761,0.605571407236359,0.9927891091577267,0.9261255211649041,False,0.7129835384524654,2025,1.843275234124861,0.2914145203635973,2025,3.9217019703569793,-0.025236007948269662,-0.028305074840003008,-0.03080888896827555,2012;2016;2019;2025,457,457,37,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,ALL,development,2016,4,-0.21088737014163697,0.5122150862811474,-1.84098437898765,1.4192096387043762,-4.728375672822908,4.306600932539634,0.8493483641642193,0.17411734979152793,15.33251887394234,29.73048880672044,1.5724639427808897e-06,0.8990934854955407,0.6342188835582568,0.9934930795271283,0.9216009788212137,False,0.6831746375400145,2025,1.9528064021398475,0.28972829414799517,2025,3.9178598303556935,-0.022929657518684005,-0.030670651740196963,-0.026196188109104235,2012;2014;2019;2025,419,419,44,,m2_20260926T165115Z_1ffdde7
