model,baseline,unit,stratum,set,variant,rho,k,mu,se,ci_lo,ci_hi,pi_lo,pi_hi,tau2,tau2_lo,tau2_hi,q,q_p,i2,i2_lo,i2_hi,tau,tau2_outside_qprofile,fe_max_share,fe_max_event,k_eff_fe,re_max_share,re_max_event,k_eff_re,mean_equal,mean_unit_weighted,median,events,n_units_total,n_pos_cells_total,n_clusters_total,flag,run_id
rf_F1_wf,slope_neg,cell_gate,ALL,development,main,0.0,5,-0.12113257735393758,0.40616324261714654,-1.2488225242295778,1.0065573695217027,-3.015671175701495,2.7734060209936193,0.6646548145445591,0.16155559059060937,6.982875029895107,39.190949567107424,6.361583608224481e-08,0.8979356192135451,0.6274210629275021,0.9864474542153734,0.8152636472605406,False,0.59595166711018,2025,2.4632204525156767,0.2361368369614837,2025,4.8829582364612785,-0.01237879494082943,-0.013210206563909027,0.02982465537058887,2012;2014;2016;2019;2025,589,589,50,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cluster_gate,ALL,development,main,0.0,5,-0.0534126417478988,0.3556811488393461,-1.040941826454029,0.9341165429582314,-2.5712488787722774,2.46442359527648,0.4994310414209299,0.11910242615030714,4.126064486323826,39.14911785557765,6.489445741924223e-08,0.8978265611307992,0.5787791385441186,0.9794243995030528,0.7067043522017746,False,0.5218670317501908,2025,2.882833507875722,0.24025984801663344,2025,4.829189899940555,0.010040000000000004,-0.0051140000000000005,0.044499999999999984,2012;2014;2016;2019;2025,50,589,50,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,ALL,development,main,0.0,5,-0.13115571021515746,0.34212589361997886,-1.0810494729177687,0.8187380524874538,-2.619261860178459,2.356950439748144,0.4941953232748827,0.12971628869982654,4.347557191556396,42.77769031293733,1.1507322032227051e-08,0.9064933153066875,0.6865428717704114,0.9865604905215443,0.7029902725321899,False,0.3614784435870896,2014,3.726388201005864,0.22330837239129323,2014,4.898797474534853,-0.007429252702741107,-0.002534702196231369,0.03366994241970467,2012;2014;2016;2019;2025,123,589,50,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,FLAT,development,main,0.0,5,-0.2658079609464049,0.4783575376871201,-1.5939414049922784,1.0623254830994688,-3.6181178588596232,3.0865019369668136,0.8892601947017379,0.21523895536606166,10.17488886590218,40.55621775798819,3.320949237640132e-08,0.9013714734478134,0.6440270739923954,0.9884427221907323,0.9430059356662279,False,0.5065352495595068,2025,2.9170899511194026,0.23747305663515575,2025,4.80153654270824,-0.046228723943292846,-0.04777336792914441,0.03214884325507683,2012;2014;2016;2019;2025,528,528,46,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cluster_gate,FLAT,development,main,0.0,5,-0.18040538909977819,0.43843961378147667,-1.39770890870817,1.0368981305086138,-3.237932587237157,2.8771218090376007,0.7308063831897831,0.16152351156471542,6.314987679434488,33.90372180645974,7.798477550245537e-07,0.8820188525957681,0.518096907370525,0.9767618974720029,0.8548721443524657,False,0.5618565265360722,2025,2.657828370556969,0.24883920912880195,2025,4.765654324431643,-0.013240000000000007,-0.06457391304347827,0.09859999999999997,2012;2014;2016;2019;2025,46,528,46,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,FLAT,development,main,0.0,5,-0.1912602722160238,0.4225023785512756,-1.364314933079138,0.9817943886470905,-3.2724392708016388,2.8899187263695914,0.7588631175986789,0.20365412223803991,6.762709775588495,45.66501341312768,2.891598915731887e-09,0.9124055879758027,0.6996383107174663,0.9872366499436822,0.8711274979006683,False,0.35798617303839675,2014,3.7966097478075516,0.22206983588930584,2014,4.897487008111599,-0.027019199922929126,-0.02063170295736336,0.07655424571550895,2012;2014;2016;2019;2025,112,528,46,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,URBAN,development,main,0.0,4,-0.03564713130172618,0.27305499355973833,-0.904629986695182,0.8333357240917297,-1.210507944713256,1.1392136821098038,0.0,0.0,5.282588295818774,2.669576286591864,0.44542226918179806,0.0,0.0,0.9365796552589711,0.0,False,0.548492878078425,2016,2.6688266163289525,0.548492878078425,2016,2.6688266163289525,0.001016351251884845,-0.033617813356712496,0.04542835547557689,2012;2014;2016;2019,349,349,29,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cluster_gate,URBAN,development,main,0.0,4,0.2161389426605631,0.29299714777247776,-0.7163087477266233,1.1485866330477497,-1.0445260350114949,1.476803920332621,0.0,0.0,1.0569876739566635,0.8340985590873756,0.8412949135744342,0.0,0.0,0.7407633088317945,0.0,False,0.4249131038951924,2016,3.2921098718088846,0.4249131038951924,2016,3.2921098718088846,0.047525000000000026,0.04595517241379313,0.038500000000000034,2012;2014;2016;2019,29,349,29,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,URBAN,development,main,0.0,4,0.1477273405302468,0.2088204787178721,-0.5168326204330204,0.812287301493514,-0.750754662252795,1.0462093433132886,0.0,0.0,1.0362462149137084,1.5674126116818126,0.666801152444713,0.0,0.0,0.8501201266729547,0.0,False,0.3393129865391098,2016,3.5217080030017036,0.3393129865391098,2016,3.5217080030017036,0.020884779720541452,0.028507001342620568,0.03306629577767661,2012;2014;2016;2019,70,349,29,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,AGRI,development,main,0.0,3,-0.1868035560118659,0.445607107967331,-2.1040961955032658,1.730489083479534,-10.239505179610001,9.86589806758627,0.4273760080738086,0.020986055612036435,18.454849686664918,8.84217991662778,0.01202112261898621,0.7738114335087226,0.12058675082181748,0.9917751696421278,0.653740015658984,False,0.710577448297658,2025,1.8144239428784237,0.417405031397445,2025,2.8859492057468885,-0.012428134957843414,0.032257122031003296,-0.008835273741941707,2012;2014;2025,127,127,30,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cluster_gate,AGRI,development,main,0.0,3,-0.1842932068637693,0.3834018883365721,-1.8339383883062197,1.4653519745786812,-8.723471343977602,8.354884930250064,0.30465136421312855,0.0,14.901630502179913,7.234828939929036,0.02685201350497818,0.7235594626208789,0.0,0.991244424664681,0.5519523205976478,False,0.6762539592496966,2025,1.9608870468250166,0.4172017970491873,2025,2.906886892289496,-0.01056666666666665,-0.01872666666666665,-0.014100000000000001,2012;2014;2025,30,127,30,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,AGRI,development,main,0.0,3,-0.30442842264754477,0.42298575961492824,-2.1243892558998656,1.5155324106047758,-10.345492676151874,9.736635830856784,0.4455763633483446,0.0735353232146994,17.84134893776756,18.4398593128994,9.904565461037029e-05,0.8915393026561259,0.49861596942370723,0.9958726013655739,0.6675150660085094,False,0.5893899960173522,2025,2.2046664409800876,0.37285825136406725,2025,2.9553038890780963,-0.04488616117047419,-0.022391285555786383,-0.03823323119193872,2012;2014;2025,59,127,30,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,UNIVERSE,development,main,0.0,4,0.04109445752354503,0.31785246462096545,-0.9704539441347668,1.0526428591818568,-1.6131540986693182,1.6953430137164083,0.062023459557277526,0.0,6.388067996282208,4.168364063029184,0.24384838998428712,0.28029319065286357,0.0,0.9576251960508416,0.2490450954290759,False,0.29571448529449,2014,3.8600446818741263,0.28779829083563996,2014,3.8988343620565313,-0.02319710734659891,-0.04781111766589708,0.024796712594481185,2012;2014;2016;2019,330,330,39,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cluster_gate,UNIVERSE,development,main,0.0,4,0.11095946037983961,0.26178115316338063,-0.7221450032978695,0.9440639240575487,-1.0153939328755421,1.2373128536352214,0.0,0.0,1.0702374204377145,1.3099375554666806,0.7267746689079377,0.0,0.0,0.7880913119950632,0.0,False,0.3351345991363717,2012,3.5014854076865665,0.3351345991363717,2012,3.5014854076865665,0.02127499999999999,0.02089230769230766,0.018400000000000027,2012;2014;2016;2019,39,330,39,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,UNIVERSE,development,main,0.0,5,-0.05612755358254696,0.25336771799958907,-0.7595891140376408,0.6473340068725469,-1.267783809925789,1.155528702760695,0.08903031742628319,0.0,4.144463646321389,6.5794427486631655,0.15985316702228156,0.3920457776135017,0.0,0.9578516011473898,0.29837948559893185,False,0.40881317392168376,2014,3.43891232340863,0.33264656459482705,2014,4.034885523851114,-0.057534123477794095,0.0013432188827073865,-0.01216645852014786,2012;2014;2016;2019;2025,94,332,41,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,ALL,holdout,main,0.0,4,0.1862041113496348,0.0885841581420839,-0.09571021543630778,0.4681184381355774,-0.19494275849296047,0.56735098119223,0.0,0.0,0.4001729378708286,1.5668778105018957,0.6669231513076332,0.0,0.0,0.8014595277218844,0.0,False,0.869221926356624,2024-09-20,1.3114327061021545,0.869221926356624,2024-09-20,1.3114327061021545,0.05776009513343225,0.024062013326416526,0.06105560979342173,2022-09-06;2023-08-10;2024-07-24;2024-09-20,196,1272,55,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,FLAT,holdout,main,0.0,4,0.41780250444024813,0.29068584539023623,-0.5072895902201803,1.3428945991006764,-1.5673394519165553,2.4029444607970514,0.12836982085297238,0.0,5.365844782428182,4.1699794540624335,0.2436847503544816,0.28057199488660034,0.0,0.9556377274092586,0.358287343975436,False,0.9213460435239254,2024-09-20,1.174334919906927,0.5961147773713591,2024-09-20,2.385086924447151,0.17307594317700034,0.04210843845940956,0.15003639457247606,2022-09-06;2023-08-10;2024-07-24;2024-09-20,175,1234,50,,m2_20260926T165115Z_1ffdde7
