component,mean_absolute_shap,top20_mean_shap
H,0.046915589055906606,0.07428930683364371
E,0.13567020897655965,0.35481377939589914
V,0.06712800313031249,0.059910224867986105
D,0.05762485600625627,0.07237531360123568
