grid_id,cdri,grade_code,in_robust_core,primary_cause,h_shap,e_shap,v_shap,d_shap,baseline,reconstructed,xai_main_positive
라라775800,0.4253571802785846,R2,0,D,-0.08542210131780271,-0.1715604201804823,0.09194153645758527,0.2212320579357599,0.36916610738352446,0.4253571802785846,D
라라782800,0.5020329504470575,R3,0,D,0.0039051875224025124,-0.19437837122714705,0.09699456220717667,0.2263454645611008,0.36916610738352446,0.5020329504470574,D
라라783805,0.4667250753055013,R3,0,D,-0.07140413930365833,-0.13149280729875767,0.09414740290731506,0.2063085116170778,0.36916610738352446,0.46672507530550134,D
라라784804,0.42618976573752126,R2,0,D,-0.05075797545535879,-0.18287576642117265,0.09180829452918154,0.19884910570134667,0.36916610738352446,0.4261897657375212,D
라라784805,0.46192600113744975,R3,0,D,-0.06271637347071116,-0.1399298079335063,0.0938358912384446,0.2015701839196979,0.36916610738352446,0.4619260011374495,D
라라784806,0.4663520712541614,R3,0,D,-0.08773622496902424,-0.1094052914098245,0.09397368877671577,0.20035379147277,0.36916610738352446,0.46635207125416145,D
라라785806,0.44071393329065733,R3,0,D,-0.07433469546680684,-0.13754127312813863,0.09237930201292559,0.19104449248915253,0.36916610738352446,0.4407139332906571,D
라라786801,0.483242058026906,R3,0,D,0.002514146069725017,-0.19130501477622983,0.0956051131383077,0.20726170621157863,0.36916610738352446,0.483242058026906,D
라라787803,0.43449254141970606,R3,0,D,-0.03402720346023501,-0.18391169959858006,0.09227060320910883,0.19099473388588772,0.36916610738352446,0.43449254141970595,D
라라788858,0.33360140465775534,R2,0,V,-0.10667256177236471,-0.16832710567906095,0.09495807408317807,0.1444768906424784,0.36916610738352446,0.33360140465775523,D
라라789803,0.4828074427302484,R3,0,D,0.007463832593996918,-0.17860010676028631,0.09532007977245957,0.18945752974055374,0.36916610738352446,0.48280744273024834,D
라라789822,0.37185575480193106,R2,0,V,-0.015050538311810809,-0.12009331846196407,0.09512342069045006,0.04271008350173144,0.36916610738352446,0.37185575480193106,V
라라789838,0.32821573817575794,R2,0,V,-0.046070691203320135,-0.0959855773882821,0.09158251626677222,0.00952338311706373,0.36916610738352446,0.32821573817575816,V
라라789840,0.2688484077290943,R1,0,V,-0.042174005333957286,-0.12964972327802976,0.08711237433579486,-0.015606345378238077,0.36916610738352446,0.2688484077290942,V
라라790821,0.3712159800340771,R2,0,V,0.020710030523185433,-0.12815886406914861,0.09508182197682415,0.014416884219691528,0.36916610738352446,0.37121598003407696,V
라라790822,0.30260116441160223,R1,0,V,-0.015428139907599083,-0.16165745530268064,0.09009987989880902,0.020420772339548504,0.36916610738352446,0.30260116441160223,V
라라790838,0.31554247349275694,R2,0,V,-0.012059864163300044,-0.12166835284714214,0.09072020549827062,-0.010615622378596085,0.36916610738352446,0.3155424734927568,V
라라790840,0.25040093285220033,R1,0,V,-0.022419166913033313,-0.15300515795348463,0.08580213569235384,-0.029142985357159992,0.36916610738352446,0.2504009328522004,V
라라790843,0.2860682302299641,R1,0,V,-0.02970319326634547,-0.027450182959540298,0.08807548551172589,-0.11401998643940038,0.36916610738352446,0.2860682302299642,V
라라790845,0.2606220922506888,R1,0,V,-0.033386957135889066,-0.11512262031026041,0.08632800328764387,-0.046362440974330066,0.36916610738352446,0.2606220922506888,V
라라791821,0.38415552188245977,R2,0,V,0.022892210419888967,-0.08945841969316497,0.09575795965087221,-0.014202335878660897,0.36916610738352446,0.38415552188245977,V
라라791822,0.3191933847641648,R2,0,V,-0.0281412521452154,-0.11428521991093477,0.09097098572336253,0.0014827637134278702,0.36916610738352446,0.3191933847641647,V
라라791842,0.24284112684750678,R1,0,V,0.012948647547030371,-0.11306872480369884,0.0850348554111226,-0.11123975869047184,0.36916610738352446,0.24284112684750675,V
라라791844,0.252119824644434,R1,0,V,0.006317740269603173,-0.11413255681876462,0.08573023837060162,-0.09496170456053069,0.36916610738352446,0.25211982464443394,V
라라791845,0.27655861512585383,R1,0,V,-0.006519548137334956,-0.11700790023911298,0.08762322991271182,-0.0567032737939345,0.36916610738352446,0.27655861512585383,V
라라792805,0.44639621113357225,R3,0,D,-0.010430194112495968,-0.15345524163958468,0.09245892762015057,0.14865661188197798,0.36916610738352446,0.44639621113357236,D
라라792808,0.39026343196220226,R2,0,D,-0.048921219285487164,-0.13096326056411767,0.08837594916963232,0.11260585525865009,0.36916610738352446,0.39026343196220203,D
라라792821,0.290735644030434,R1,0,V,0.012218295489078901,-0.15961105465264652,0.08910482885468005,-0.020142533044202986,0.36916610738352446,0.2907356440304339,V
라라792822,0.31747606424226715,R2,0,V,-0.03805941228771024,-0.0949443408933499,0.09070537849097715,-0.009391668451174107,0.36916610738352446,0.3174760642422674,V
라라792831,0.28295859848898774,R1,0,V,-0.040820495127196356,-0.14834132012247447,0.08843811218759892,0.014516194167535332,0.36916610738352446,0.28295859848898786,V
라라792838,0.25743291365002186,R1,0,V,0.0029297068628369614,-0.15415341664977575,0.08639331962951974,-0.04690280357608356,0.36916610738352446,0.25743291365002186,V
라라792840,0.2737445449854659,R1,0,V,0.02164659591111017,-0.15685736481634088,0.08775123665046539,-0.04796203014329326,0.36916610738352446,0.27374454498546585,V
