score,unit,stratum,storm,metric,value,ci_lo,ci_hi,n_units,test_event,role,year,n_polygons,run_id
z_sensitivity,cell_gate,ALL,ALL,capture_0.2,0.2193,,,1254,2024-09-20,holdout,2024,183,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,object,ALL,ALL,capture_0.2,0.5069109254203319,,,183,2024-09-20,holdout,2024,183,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cell_gate,ALL,ALL,observed-label_auc,0.4464839156729055,0.4398,0.4684,1254,2024-09-20,holdout,2024,183,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cluster_gate,ALL,ALL,observed-label_auc,0.4863,0.4495,0.5309,52,2024-09-20,holdout,2024,183,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cell_gate,ALL,ALL,capture_0.2,0.0191,,,1254,2024-09-20,holdout,2024,183,walkforward_20260926T135215Z_3d14fc1
city_flood_map,object,ALL,ALL,capture_0.2,0.3015496659133205,,,183,2024-09-20,holdout,2024,183,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cell_gate,ALL,ALL,observed-label_auc,0.8427513224372053,0.8199,0.8515,1254,2024-09-20,holdout,2024,183,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cluster_gate,ALL,ALL,observed-label_auc,0.8187,0.7917,0.8433,52,2024-09-20,holdout,2024,183,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cell_gate,ALL,ALL,capture_0.2,0.7616,,,1254,2024-09-20,holdout,2024,183,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,object,ALL,ALL,capture_0.2,0.6193676839051939,,,183,2024-09-20,holdout,2024,183,walkforward_20260926T135215Z_3d14fc1
L1,object,ALL,ALL,observed-label_auc,0.7072260306270862,0.6769982023933624,0.7390493109536415,183,2024-09-20,holdout,2024,183,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,object,ALL,ALL,observed-label_auc,0.8081844941834656,0.791116105597034,0.8259629284877674,183,2024-09-20,holdout,2024,183,walkforward_20260926T135215Z_3d14fc1
city_flood_map,object,ALL,ALL,observed-label_auc,0.5935787294454675,0.5613696349291473,0.6254953043274061,183,2024-09-20,holdout,2024,183,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,object,ALL,ALL,observed-label_auc,0.839442883768565,0.8235601111337821,0.8555444567899644,183,2024-09-20,holdout,2024,183,walkforward_20260926T135215Z_3d14fc1
