score,unit,stratum,storm,metric,value,ci_lo,ci_hi,n_units,test_event,role,year,n_polygons,train_events,run_id
slope_neg,cell_gate,FLAT,ALL,capture_0.2,0.3429,,,105,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
slope_neg,object,FLAT,ALL,capture_0.2,0.24001671897237797,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,cell_gate,FLAT,ALL,observed-label_auc,0.4430021130183205,0.3605,0.7117,105,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,cluster_gate,FLAT,ALL,observed-label_auc,0.5296,0.3605,0.7117,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,cell_gate,FLAT,ALL,capture_0.2,0.0095,,,105,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,object,FLAT,ALL,capture_0.2,0.004423581207838311,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,cell_gate,FLAT,ALL,observed-label_auc,0.6505856168741095,0.5037,0.7715,105,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,cluster_gate,FLAT,ALL,observed-label_auc,0.6615,0.5037,0.7715,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,cell_gate,FLAT,ALL,capture_0.2,0.1048,,,105,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,object,FLAT,ALL,capture_0.2,0.129378254169202,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,cell_gate,FLAT,ALL,observed-label_auc,0.297169848709557,0.2536,0.4303,105,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,cluster_gate,FLAT,ALL,observed-label_auc,0.3409,0.2536,0.4303,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,cell_gate,FLAT,ALL,capture_0.2,0.0,,,105,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,object,FLAT,ALL,capture_0.2,0.0,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,cell_gate,FLAT,ALL,observed-label_auc,0.815971331368414,0.7086,0.8651,105,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,cluster_gate,FLAT,ALL,observed-label_auc,0.7767,0.7086,0.8651,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,cell_gate,FLAT,ALL,capture_0.2,0.0952,,,105,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,object,FLAT,ALL,capture_0.2,0.10652657403814131,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_acc_neg,cell_gate,FLAT,ALL,observed-label_auc,0.810777227795056,0.7277,0.8489,105,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_acc_neg,cluster_gate,FLAT,ALL,observed-label_auc,0.8085,0.7277,0.8489,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_acc_neg,cell_gate,FLAT,ALL,capture_0.2,0.2,,,105,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_acc_neg,object,FLAT,ALL,capture_0.2,0.1841038981514141,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
L1,cell_gate,FLAT,ALL,observed-label_auc,0.16361478403617788,0.1472,0.1976,105,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
L1,cluster_gate,FLAT,ALL,observed-label_auc,0.1705,0.1472,0.1976,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
L1,cell_gate,FLAT,ALL,capture_0.2,0.0,,,105,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
L1,object,FLAT,ALL,capture_0.2,0.0,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
z_sensitivity,cell_gate,FLAT,ALL,observed-label_auc,0.3926972584995275,0.2888,0.4524,105,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
z_sensitivity,cluster_gate,FLAT,ALL,observed-label_auc,0.3688,0.2888,0.4524,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
z_sensitivity,cell_gate,FLAT,ALL,capture_0.2,0.0,,,105,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
z_sensitivity,object,FLAT,ALL,capture_0.2,0.0,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
slope_neg,object,FLAT,ALL,observed-label_auc,0.6107649231404799,0.5153409269348502,0.7104085218518609,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,object,FLAT,ALL,observed-label_auc,0.43543541179067513,0.37390628345233795,0.4889355101947503,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,object,FLAT,ALL,observed-label_auc,0.5795642136568371,0.47818399167209036,0.6748498477440964,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,object,FLAT,ALL,observed-label_auc,0.30142311001618755,0.2635155625749163,0.34034277448179284,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,object,FLAT,ALL,observed-label_auc,0.7817315740724012,0.7199396887751711,0.8367806657794837,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_acc_neg,object,FLAT,ALL,observed-label_auc,0.7585985768678025,0.6878396827270657,0.8232412125913582,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
L1,object,FLAT,ALL,observed-label_auc,0.1283641725887806,0.09881980585535945,0.15824432334214006,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
z_sensitivity,object,FLAT,ALL,observed-label_auc,0.32418559935829944,0.2574460744276102,0.38635323345198036,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
slope_neg,cell_gate,URBAN,ALL,observed-label_auc,0.3947178376147735,0.1498,0.6396,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
slope_neg,cluster_gate,URBAN,ALL,observed-label_auc,0.3947,0.1498,0.6396,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
slope_neg,cell_gate,URBAN,ALL,capture_0.2,0.0,,,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
slope_neg,object,URBAN,ALL,capture_0.2,0.0,,,7,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,cell_gate,URBAN,ALL,observed-label_auc,0.4372743216754359,0.079,0.7955,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,cluster_gate,URBAN,ALL,observed-label_auc,0.4373,0.079,0.7955,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,cell_gate,URBAN,ALL,capture_0.2,0.0,,,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,object,URBAN,ALL,capture_0.2,0.0,,,7,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,cell_gate,URBAN,ALL,observed-label_auc,0.5411637264004951,0.1152,0.9671,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,cluster_gate,URBAN,ALL,observed-label_auc,0.5412,0.1152,0.9671,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,cell_gate,URBAN,ALL,capture_0.2,0.5,,,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,object,URBAN,ALL,capture_0.2,0.14285714285714285,,,7,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,cell_gate,URBAN,ALL,observed-label_auc,0.3828278138863097,0.3716,0.394,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,cluster_gate,URBAN,ALL,observed-label_auc,0.3828,0.3716,0.394,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,cell_gate,URBAN,ALL,capture_0.2,0.0,,,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,object,URBAN,ALL,capture_0.2,0.0,,,7,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,cell_gate,URBAN,ALL,observed-label_auc,0.6782213968843496,0.47,0.8864,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,cluster_gate,URBAN,ALL,observed-label_auc,0.6782,0.47,0.8864,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,cell_gate,URBAN,ALL,capture_0.2,0.5,,,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,object,URBAN,ALL,capture_0.2,0.2857142857142857,,,7,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_acc_neg,cell_gate,URBAN,ALL,observed-label_auc,0.6862942329516145,0.4332,0.9394,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_acc_neg,cluster_gate,URBAN,ALL,observed-label_auc,0.6863,0.4332,0.9394,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_acc_neg,cell_gate,URBAN,ALL,capture_0.2,0.5,,,2,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
