score,stratum,unit,metric,role_group,median,n_events,n_pass_gate
hand_acc_neg,URBAN,object,observed-label_auc,holdout,0.6297,4,0
hand_neg,AGRI,cell_gate,capture_0.2,all,0.2174,5,1
hand_neg,AGRI,cell_gate,capture_0.2,development,0.2728,4,1
hand_neg,AGRI,cell_gate,capture_0.2,holdout,0.1906,1,0
hand_neg,AGRI,cell_gate,observed-label_auc,all,0.7497,5,4
hand_neg,AGRI,cell_gate,observed-label_auc,development,0.7263,4,3
hand_neg,AGRI,cell_gate,observed-label_auc,holdout,0.7829,1,1
hand_neg,AGRI,object,observed-label_auc,all,0.6679,5,2
hand_neg,AGRI,object,observed-label_auc,development,0.7087,4,2
hand_neg,AGRI,object,observed-label_auc,holdout,0.6679,1,0
hand_neg,ALL,cell_gate,capture_0.2,all,0.8935,8,8
hand_neg,ALL,cell_gate,capture_0.2,development,0.8935,6,6
hand_neg,ALL,cell_gate,capture_0.2,holdout,0.7185,2,2
hand_neg,ALL,cell_gate,observed-label_auc,all,0.8695,8,8
hand_neg,ALL,cell_gate,observed-label_auc,development,0.8695,6,6
hand_neg,ALL,cell_gate,observed-label_auc,holdout,0.8362,2,2
hand_neg,ALL,object,observed-label_auc,all,0.8451,10,10
hand_neg,ALL,object,observed-label_auc,development,0.8706,6,6
hand_neg,ALL,object,observed-label_auc,holdout,0.7807,4,4
hand_neg,FLAT,cell_gate,capture_0.2,all,0.1845,8,0
hand_neg,FLAT,cell_gate,capture_0.2,development,0.1845,6,0
hand_neg,FLAT,cell_gate,capture_0.2,holdout,0.1324,2,0
hand_neg,FLAT,cell_gate,observed-label_auc,all,0.6724,8,3
hand_neg,FLAT,cell_gate,observed-label_auc,development,0.6724,6,2
hand_neg,FLAT,cell_gate,observed-label_auc,holdout,0.5991,2,1
hand_neg,FLAT,object,observed-label_auc,all,0.6284,10,2
hand_neg,FLAT,object,observed-label_auc,development,0.6765,6,2
hand_neg,FLAT,object,observed-label_auc,holdout,0.5045,4,0
hand_neg,UNIVERSE,cell_gate,capture_0.2,all,0.5106,7,4
hand_neg,UNIVERSE,cell_gate,capture_0.2,development,0.5106,5,3
hand_neg,UNIVERSE,cell_gate,capture_0.2,holdout,0.4734,2,1
hand_neg,UNIVERSE,cell_gate,observed-label_auc,all,0.788,7,6
hand_neg,UNIVERSE,cell_gate,observed-label_auc,development,0.788,5,5
hand_neg,UNIVERSE,cell_gate,observed-label_auc,holdout,0.714,2,1
hand_neg,UNIVERSE,object,observed-label_auc,all,0.7629,10,6
hand_neg,UNIVERSE,object,observed-label_auc,development,0.7895,6,5
hand_neg,UNIVERSE,object,observed-label_auc,holdout,0.653,4,1
hand_neg,URBAN,cell_gate,capture_0.2,all,0.3084,6,1
hand_neg,URBAN,cell_gate,capture_0.2,development,0.3084,4,1
hand_neg,URBAN,cell_gate,capture_0.2,holdout,0.3143,2,0
hand_neg,URBAN,cell_gate,observed-label_auc,all,0.7216,6,4
hand_neg,URBAN,cell_gate,observed-label_auc,development,0.7348,4,3
hand_neg,URBAN,cell_gate,observed-label_auc,holdout,0.5846,2,1
hand_neg,URBAN,object,observed-label_auc,all,0.6145,9,2
hand_neg,URBAN,object,observed-label_auc,development,0.658,5,2
hand_neg,URBAN,object,observed-label_auc,holdout,0.5881,4,0
impervious,AGRI,cell_gate,capture_0.2,all,0.1236,5,0
impervious,AGRI,cell_gate,capture_0.2,development,0.1321,4,0
impervious,AGRI,cell_gate,capture_0.2,holdout,0.1178,1,0
impervious,AGRI,cell_gate,observed-label_auc,all,0.4994,5,0
impervious,AGRI,cell_gate,observed-label_auc,development,0.5043,4,0
impervious,AGRI,cell_gate,observed-label_auc,holdout,0.4703,1,0
impervious,AGRI,object,observed-label_auc,all,0.5633,5,1
impervious,AGRI,object,observed-label_auc,development,0.5908,4,1
impervious,AGRI,object,observed-label_auc,holdout,0.4941,1,0
impervious,ALL,cell_gate,capture_0.2,all,0.5334,8,4
impervious,ALL,cell_gate,capture_0.2,development,0.5334,6,3
impervious,ALL,cell_gate,capture_0.2,holdout,0.5025,2,1
impervious,ALL,cell_gate,observed-label_auc,all,0.7078,8,4
impervious,ALL,cell_gate,observed-label_auc,development,0.7078,6,3
impervious,ALL,cell_gate,observed-label_auc,holdout,0.6705,2,1
impervious,ALL,object,observed-label_auc,all,0.8213,10,7
impervious,ALL,object,observed-label_auc,development,0.7536,6,4
impervious,ALL,object,observed-label_auc,holdout,0.8545,4,3
impervious,FLAT,cell_gate,capture_0.2,all,0.2672,8,2
impervious,FLAT,cell_gate,capture_0.2,development,0.2672,6,2
impervious,FLAT,cell_gate,capture_0.2,holdout,0.1969,2,0
impervious,FLAT,cell_gate,observed-label_auc,all,0.5506,8,3
impervious,FLAT,cell_gate,observed-label_auc,development,0.5506,6,2
impervious,FLAT,cell_gate,observed-label_auc,holdout,0.5175,2,1
impervious,FLAT,object,observed-label_auc,all,0.657,10,5
impervious,FLAT,object,observed-label_auc,development,0.5465,6,2
impervious,FLAT,object,observed-label_auc,holdout,0.7192,4,3
impervious,UNIVERSE,cell_gate,capture_0.2,all,0.234,7,2
impervious,UNIVERSE,cell_gate,capture_0.2,development,0.4924,5,2
impervious,UNIVERSE,cell_gate,capture_0.2,holdout,0.1065,2,0
impervious,UNIVERSE,cell_gate,observed-label_auc,all,0.7038,7,4
impervious,UNIVERSE,cell_gate,observed-label_auc,development,0.7038,5,3
impervious,UNIVERSE,cell_gate,observed-label_auc,holdout,0.484,2,1
impervious,UNIVERSE,object,observed-label_auc,all,0.5808,10,2
impervious,UNIVERSE,object,observed-label_auc,development,0.4764,6,2
impervious,UNIVERSE,object,observed-label_auc,holdout,0.6728,4,0
