scenario_no,replicate,v1_auc,v1_capture,v1_object_auc,max_event_share,evaluable,v2_auc,v2_capture,v2_object_auc,n_events_used,v1_pass,v2_pass,v2_evaluable,v1_v2_flip,v1_minus_v2_auc
0,0,0.5194636665352581,0.3389830508474576,0.6140355112236727,1.0,True,,,,,False,False,False,False,
0,1,0.7909432804246623,0.5869565217391305,0.8206730118208251,1.0,True,,,,,True,False,False,False,
0,2,0.7015793175514466,0.49019607843137253,0.7541261386510789,1.0,True,,,,,False,False,False,False,
0,3,0.6178137672090113,0.38,0.7023123774577867,1.0,True,,,,,False,False,False,False,
0,4,0.5464233473186509,0.3389830508474576,0.6052144096544987,1.0,True,,,,,False,False,False,False,
0,5,0.6972916145181476,0.54,0.7717046007238425,1.0,True,,,,,False,False,False,False,
0,6,0.5387586520626398,0.3050847457627119,0.6076621225419462,1.0,True,,,,,False,False,False,False,
0,7,0.6065019846263382,0.38596491228070173,0.6904626621262459,1.0,True,,,,,False,False,False,False,
0,8,0.618688209646114,0.47368421052631576,0.6469620490318765,1.0,True,,,,,False,False,False,False,
0,9,0.5186576570509999,0.20689655172413793,0.5792125464272885,1.0,True,,,,,False,False,False,False,
0,10,0.7952379419891407,0.6326530612244898,0.7984236273317598,1.0,True,,,,,True,False,False,False,
0,11,0.5179635366361978,0.3684210526315789,0.6450780374185402,1.0,True,,,,,False,False,False,False,
0,12,0.7016583528875491,0.5344827586206896,0.7640275209135118,1.0,True,,,,,True,False,False,False,
0,13,0.5571465645587946,0.3333333333333333,0.5787891826769577,1.0,True,,,,,False,False,False,False,
0,14,0.6887083376005644,0.509090909090909,0.7527780546608177,1.0,True,,,,,False,False,False,False,
0,15,0.6096865027045771,0.42592592592592593,0.6639486846774095,1.0,True,,,,,False,False,False,False,
0,16,0.7780253713904189,0.6333333333333333,0.8062786600104894,1.0,True,,,,,True,False,False,False,
0,17,0.6124695376397931,0.36666666666666664,0.6913102143096673,1.0,True,,,,,False,False,False,False,
0,18,0.6724809560120465,0.5,0.7452322926801336,1.0,True,,,,,False,False,False,False,
0,19,0.5903490026058558,0.4,0.6871519072444946,1.0,True,,,,,False,False,False,False,
0,20,0.7343307278312173,0.5344827586206896,0.7618496006318799,1.0,True,,,,,True,False,False,False,
0,21,0.5320395495921949,0.36507936507936506,0.6510972693272287,1.0,True,,,,,False,False,False,False,
0,22,0.6451932095775055,0.43137254901960786,0.681607170983669,1.0,True,,,,,False,False,False,False,
0,23,0.6754943247458142,0.6296296296296297,0.749017995940551,1.0,True,,,,,False,False,False,False,
0,24,0.6370523153942428,0.54,0.7083280349845601,1.0,True,,,,,False,False,False,False,
0,25,0.6475556527493268,0.4716981132075472,0.7030579440213582,1.0,True,,,,,False,False,False,False,
0,26,0.6119338558150698,0.3103448275862069,0.6802481846822154,1.0,True,,,,,False,False,False,False,
0,27,0.49179278276187244,0.26865671641791045,0.5528334262240081,1.0,True,,,,,False,False,False,False,
0,28,0.6289240474640765,0.46296296296296297,0.7035010940250175,1.0,True,,,,,False,False,False,False,
0,29,0.6154433041301627,0.36,0.6346934055663507,1.0,True,,,,,False,False,False,False,
0,30,0.6791251268788497,0.4222222222222222,0.7608812079724981,1.0,True,,,,,False,False,False,False,
0,31,0.6632715438273081,0.45454545454545453,0.7002530706295967,1.0,True,,,,,False,False,False,False,
0,32,0.6957685919252994,0.6170212765957447,0.7646673238610922,1.0,True,,,,,False,False,False,False,
0,33,0.5873872028584759,0.4727272727272727,0.6584618750551627,1.0,True,,,,,False,False,False,False,
0,34,0.5684310012653557,0.41509433962264153,0.6033497948416587,1.0,True,,,,,False,False,False,False,
0,35,0.6366097643168127,0.39344262295081966,0.7073276256336766,1.0,True,,,,,False,False,False,False,
0,36,0.5891383923852757,0.4074074074074074,0.6758165338964104,1.0,True,,,,,False,False,False,False,
0,37,0.6453002954135789,0.4107142857142857,0.7418083794548791,1.0,True,,,,,False,False,False,False,
0,38,0.6937254182034636,0.5370370370370371,0.7240142921572438,1.0,True,,,,,False,False,False,False,
0,39,0.6386167622586788,0.42592592592592593,0.6907547539735925,1.0,True,,,,,False,False,False,False,
0,40,0.7222362566711046,0.5454545454545454,0.7448509027601574,1.0,True,,,,,True,False,False,False,
0,41,0.7584699904142488,0.5294117647058824,0.8208195145356881,1.0,True,,,,,True,False,False,False,
0,42,0.6467417793356702,0.48333333333333334,0.7237795181761695,1.0,True,,,,,False,False,False,False,
0,43,0.8023165692323097,0.6730769230769231,0.8087184425934086,1.0,True,,,,,True,False,False,False,
0,44,0.7271520284061588,0.4807692307692308,0.7644905195193172,1.0,True,,,,,False,False,False,False,
0,45,0.7461061873496553,0.5882352941176471,0.7691371345149741,1.0,True,,,,,True,False,False,False,
0,46,0.5630311006838145,0.2857142857142857,0.6502903685510989,1.0,True,,,,,False,False,False,False,
0,47,0.6943887791559337,0.5531914893617021,0.72640184650333,1.0,True,,,,,False,False,False,False,
0,48,0.694643949237275,0.5,0.7618640124688751,1.0,True,,,,,False,False,False,False,
0,49,0.6212184391505614,0.3103448275862069,0.6673236444163043,1.0,True,,,,,False,False,False,False,
0,50,0.7323615425755868,0.5818181818181818,0.7630525086978855,1.0,True,,,,,True,False,False,False,
0,51,0.5629211245807385,0.31746031746031744,0.6189289345357978,1.0,True,,,,,False,False,False,False,
0,52,0.5963504434690536,0.35185185185185186,0.6347278506119153,1.0,True,,,,,False,False,False,False,
0,53,0.5459160883205937,0.38596491228070173,0.59546688553089,1.0,True,,,,,False,False,False,False,
0,54,0.6553527617235559,0.4642857142857143,0.6926520403823132,1.0,True,,,,,False,False,False,False,
0,55,0.6031111991882941,0.4576271186440678,0.7052665330864923,1.0,True,,,,,False,False,False,False,
0,56,0.5979564762752739,0.4897959183673469,0.6767285261390017,1.0,True,,,,,False,False,False,False,
0,57,0.6759494073064214,0.38461538461538464,0.7326672745969975,1.0,True,,,,,False,False,False,False,
0,58,0.5716542081629195,0.4423076923076923,0.6612064949123356,1.0,True,,,,,False,False,False,False,
0,59,0.6319911618743892,0.37735849056603776,0.6673220836152747,1.0,True,,,,,False,False,False,False,
0,60,0.703806854339914,0.5476190476190477,0.786028769782906,1.0,True,,,,,True,False,False,False,
0,61,0.7185096370463079,0.48,0.7476478744027931,1.0,True,,,,,False,False,False,False,
0,62,0.6700107837738619,0.4583333333333333,0.72339594513176,1.0,True,,,,,False,False,False,False,
0,63,0.7140961134089701,0.5576923076923077,0.7441070283424024,1.0,True,,,,,True,False,False,False,
0,64,0.6212683418911827,0.3888888888888889,0.6581172640543855,1.0,True,,,,,False,False,False,False,
0,65,0.6202565133290043,0.47058823529411764,0.6831298380199058,1.0,True,,,,,False,False,False,False,
0,66,0.6947650818288461,0.5714285714285714,0.7020818735819943,1.0,True,,,,,False,False,False,False,
0,67,0.691522606685536,0.5681818181818182,0.7407476863300054,1.0,True,,,,,False,False,False,False,
0,68,0.6930899592547235,0.5,0.7675514552730766,1.0,True,,,,,False,False,False,False,
0,69,0.601588190037933,0.4915254237288136,0.6881487544476357,1.0,True,,,,,False,False,False,False,
0,70,0.661995096706818,0.44642857142857145,0.685583802168651,1.0,True,,,,,False,False,False,False,
0,71,0.6015314269552356,0.45588235294117646,0.6851409221221761,1.0,True,,,,,False,False,False,False,
0,72,0.5047610058653004,0.3384615384615385,0.6694604570203013,1.0,True,,,,,False,False,False,False,
0,73,0.65349239155396,0.46551724137931033,0.6997556407515089,1.0,True,,,,,False,False,False,False,
0,74,0.7143526015800585,0.5263157894736842,0.7415164852209121,1.0,True,,,,,True,False,False,False,
0,75,0.7563914820035277,0.5961538461538461,0.8078262822167849,1.0,True,,,,,True,False,False,False,
0,76,0.6371601662244031,0.4444444444444444,0.6773051812289375,1.0,True,,,,,False,False,False,False,
0,77,0.6418556609397532,0.40816326530612246,0.7137741209957462,1.0,True,,,,,False,False,False,False,
0,78,0.5836359464576922,0.3114754098360656,0.658852907925827,1.0,True,,,,,False,False,False,False,
0,79,0.7049827284105131,0.46,0.7564374307627835,1.0,True,,,,,False,False,False,False,
0,80,0.4958039070265827,0.2698412698412698,0.5901905740261725,1.0,True,,,,,False,False,False,False,
0,81,0.691225890144403,0.4909090909090909,0.7404520906908665,1.0,True,,,,,False,False,False,False,
0,82,0.6344307490962143,0.46938775510204084,0.6871292867876282,1.0,True,,,,,False,False,False,False,
0,83,0.5775651355813614,0.40350877192982454,0.6997186058256112,1.0,True,,,,,False,False,False,False,
0,84,0.6330499031295034,0.3157894736842105,0.6593195371300655,1.0,True,,,,,False,False,False,False,
0,85,0.6487650291532838,0.46153846153846156,0.6794440142742105,1.0,True,,,,,False,False,False,False,
0,86,0.6653298326285709,0.5384615384615384,0.7165300636229072,1.0,True,,,,,False,False,False,False,
0,87,0.49221236753601955,0.2631578947368421,0.5428474636561745,1.0,True,,,,,False,False,False,False,
0,88,0.7124375318949385,0.6122448979591837,0.7677395696289306,1.0,True,,,,,True,False,False,False,
0,89,0.6828160039484306,0.5348837209302325,0.7371066649411441,1.0,True,,,,,False,False,False,False,
0,90,0.5755193289738199,0.38461538461538464,0.6281308866440211,1.0,True,,,,,False,False,False,False,
0,91,0.6807170637537516,0.5217391304347826,0.7323078351138029,1.0,True,,,,,False,False,False,False,
0,92,0.5329626655889674,0.375,0.5990209673146659,1.0,True,,,,,False,False,False,False,
0,93,0.6319598538900079,0.4909090909090909,0.6915470420182347,1.0,True,,,,,False,False,False,False,
0,94,0.671789164646844,0.5272727272727272,0.7313467619197496,1.0,True,,,,,False,False,False,False,
0,95,0.6143563555699333,0.4230769230769231,0.6745875325705287,1.0,True,,,,,False,False,False,False,
0,96,0.5969792049937865,0.3584905660377358,0.6674600571506161,1.0,True,,,,,False,False,False,False,
0,97,0.6045876716849303,0.41818181818181815,0.7115928608399252,1.0,True,,,,,False,False,False,False,
0,98,0.6447897502057804,0.5079365079365079,0.7039942925809467,1.0,True,,,,,False,False,False,False,
0,99,0.5254197076771585,0.3114754098360656,0.5961984052944854,1.0,True,,,,,False,False,False,False,
0,100,0.5988611613696104,0.41818181818181815,0.6479984583479741,1.0,True,,,,,False,False,False,False,
0,101,0.5788898302888633,0.3333333333333333,0.6517407259939471,1.0,True,,,,,False,False,False,False,
0,102,0.5554283067988386,0.4423076923076923,0.6802493434395098,1.0,True,,,,,False,False,False,False,
0,103,0.7358949957689647,0.574468085106383,0.7744275434155893,1.0,True,,,,,True,False,False,False,
0,104,0.5374597553742944,0.3269230769230769,0.6203206165589312,1.0,True,,,,,False,False,False,False,
0,105,0.65436433994379,0.3559322033898305,0.708166444969934,1.0,True,,,,,False,False,False,False,
0,106,0.6834652707080485,0.5185185185185185,0.7422452214717821,1.0,True,,,,,False,False,False,False,
0,107,0.660219602293794,0.41509433962264153,0.68313534171359,1.0,True,,,,,False,False,False,False,
0,108,0.6579079780894862,0.5102040816326531,0.728752215571347,1.0,True,,,,,False,False,False,False,
0,109,0.6566877670991298,0.47058823529411764,0.6932924453752711,1.0,True,,,,,False,False,False,False,
0,110,0.5795958091327859,0.2857142857142857,0.6943421759720311,1.0,True,,,,,False,False,False,False,
0,111,0.6334083108618389,0.41304347826086957,0.6953762869770101,1.0,True,,,,,False,False,False,False,
0,112,0.6760728412634831,0.5357142857142857,0.7502429317894492,1.0,True,,,,,False,False,False,False,
0,113,0.7318219845123094,0.5238095238095238,0.7771523893676278,1.0,True,,,,,True,False,False,False,
0,114,0.6544483705759492,0.5357142857142857,0.7530664165417608,1.0,True,,,,,False,False,False,False,
0,115,0.7633309678343944,0.6379310344827587,0.7995559575175638,1.0,True,,,,,True,False,False,False,
0,116,0.5265984857173781,0.3870967741935484,0.590020706384922,1.0,True,,,,,False,False,False,False,
0,117,0.5248205722906651,0.328125,0.628282510830827,1.0,True,,,,,False,False,False,False,
0,118,0.5532940571876898,0.3492063492063492,0.6669925345800869,1.0,True,,,,,False,False,False,False,
0,119,0.5911919544505164,0.3392857142857143,0.6487195676103052,1.0,True,,,,,False,False,False,False,
