rule,distance_bin,gap_bin,n,auc_unit_flip_rate,unit_flip_rate,grid_pass_rate,object_pass_rate
center,"[0.0, 0.05)","[0.0, 0.1)",2128,0.0,0.24107142857142858,0.9295112781954887,0.7269736842105263
center,"[0.0, 0.05)","[0.1, 0.2)",1869,0.0,0.2857142857142857,1.0,0.7142857142857143
center,"[0.0, 0.05)","[0.2, inf)",620,0.0,0.29838709677419356,1.0,0.7016129032258065
center,"[0.05, 0.1)","[-0.1, 0.0)",737,0.21709633649932158,0.40027137042062416,0.5780189959294437,0.9728629579375848
center,"[0.05, 0.1)","[-0.2, -0.1)",297,1.0,0.9932659932659933,0.0,0.9932659932659933
center,"[0.05, 0.1)","[-inf, -0.2)",352,1.0,0.9943181818181818,0.0,0.9943181818181818
center,"[0.05, 0.1)","[0.0, 0.1)",885,0.0,0.04293785310734463,0.9875706214689266,0.9672316384180791
center,"[0.05, 0.1)","[0.1, 0.2)",890,0.0,0.0651685393258427,1.0,0.9348314606741573
center,"[0.05, 0.1)","[0.2, inf)",81,0.0,0.14814814814814814,1.0,0.8518518518518519
center,"[0.1, inf)","[-0.1, 0.0)",207,0.0,0.0821256038647343,0.9178743961352657,1.0
center,"[0.1, inf)","[-0.2, -0.1)",167,0.7844311377245509,0.8862275449101796,0.11377245508982035,1.0
center,"[0.1, inf)","[-inf, -0.2)",84,1.0,1.0,0.0,1.0
center,"[0.1, inf)","[0.0, 0.1)",340,0.0,0.0,1.0,1.0
center,"[0.1, inf)","[0.1, 0.2)",208,0.0,0.0,1.0,1.0
f01,"[-0.05, 0.0)","[-0.1, 0.0)",733,0.0,0.0,0.0,0.0
f01,"[-0.05, 0.0)","[-0.2, -0.1)",639,0.0,0.0,0.0,0.0
f01,"[-0.05, 0.0)","[-inf, -0.2)",667,0.0,0.0,0.0,0.0
f01,"[-0.05, 0.0)","[0.0, 0.1)",752,0.8271276595744681,0.7273936170212766,0.7273936170212766,0.0
f01,"[-0.05, 0.0)","[0.1, 0.2)",470,1.0,1.0,1.0,0.0
f01,"[-0.05, 0.0)","[0.2, inf)",128,1.0,1.0,1.0,0.0
f01,"[-0.1, -0.05)","[-0.1, 0.0)",222,0.0,0.0,0.0,0.0
f01,"[-0.1, -0.05)","[-0.2, -0.1)",256,0.0,0.0,0.0,0.0
f01,"[-0.1, -0.05)","[-inf, -0.2)",262,0.0,0.0,0.0,0.0
f01,"[-0.1, -0.05)","[0.0, 0.1)",251,0.3745019920318725,0.30278884462151395,0.30278884462151395,0.0
f01,"[-0.1, -0.05)","[0.1, 0.2)",270,1.0,0.9925925925925926,0.9925925925925926,0.0
f01,"[-0.1, -0.05)","[0.2, inf)",58,1.0,1.0,1.0,0.0
f01,"[-inf, -0.1)","[-0.1, 0.0)",29,0.0,0.0,0.0,0.0
