test_event,role,score,rule,n_objects,sigma_hat,mu0_hat,beta_hat,tau_hat,delta_hat,cell_auc,object_auc,gap,term_size_weight,term_within_object,term_erasure,n_eff,n_survive,top10_share,sd_A,rho_wA,concentration_factor,size_term_product,cov_abs_diff
2012,development,L1,f10,30,2.003576431998231,1.4104810602401674,0.16525717907803228,0.8133732816940696,0.05075064129064455,0.7910914447573926,0.803161166087212,-0.012069721329819427,-0.0157299861740675,-0.0023645840437831,0.0060248488880312,10.223939893458136,26,0.546681823823986,0.14812468439055682,-0.08548910503300453,1.242196016838178,-0.015729986174067633,1.3183898417423734e-16
2012,development,L1,soft,30,2.003576431998231,1.4104810602401674,0.16525717907803228,0.8133732816940696,0.05075064129064455,0.7935255305952551,0.803161166087212,-0.009635635491956895,-0.008908969167002,-0.0007266663249545,0.0,8.940017107823978,30,0.5871326448521975,0.13559383777665213,-0.04280826937858225,1.5348284192157362,-0.008908969167002408,4.0766001685454967e-16
2012,development,hand_acc_neg,f10,30,2.003576431998231,1.5380333578415841,0.24401434694344987,0.3515088365090569,0.0638930278823906,0.8774148216225681,0.8508890754414234,0.02652574618114467,0.0303635261499067,-0.0153154643933459,0.0114776844245836,10.223939893458136,26,0.546681823823986,0.0744706562084254,0.32822895662579404,1.242196016838178,0.030363526149906776,7.632783294297951e-17
2012,development,hand_acc_neg,soft,30,2.003576431998231,1.5380333578415841,0.24401434694344987,0.3515088365090569,0.0638930278823906,0.886979199408312,0.8508890754414234,0.0360901239668886,0.0528927236298607,-0.0168025996629722,0.0,8.940017107823978,30,0.5871326448521975,0.07697400844483951,0.44770505260247295,1.5348284192157362,0.05289272362986086,1.5959455978986625e-16
2012,development,hand_neg,f10,30,2.003576431998231,1.4863589055002517,0.16086927054791608,0.37522872185239026,0.04671733601364525,0.8578793017207788,0.8436921599814527,0.014187141739326004,0.0191658682273938,-0.0158104732358592,0.0108317467477914,10.223939893458136,26,0.546681823823986,0.07269869127223892,0.21223244279857986,1.242196016838178,0.01916586822739374,6.245004513516506e-17
2012,development,hand_neg,soft,30,2.003576431998231,1.4863589055002517,0.16086927054791608,0.37522872185239026,0.04671733601364525,0.8628442043306311,0.8436921599814527,0.019152044349178388,0.0374024242255015,-0.0182503798763229,0.0,8.940017107823978,30,0.5871326448521975,0.07291525632895726,0.3342115948080071,1.5348284192157362,0.03740242422550139,1.1102230246251565e-16
2012,development,impervious,f10,30,2.003576431998231,1.3555533405017142,0.2826920709209166,0.7527106240324448,0.08363182648272183,0.8079026200448239,0.7986423115573349,0.009260308487489044,0.0054710599674056,-0.0123852372828151,0.0161744858028985,10.223939893458136,26,0.546681823823986,0.15635447799383315,0.028168973339127823,1.242196016838178,0.005471059967405496,1.0408340855860843e-16
2012,development,impervious,soft,30,2.003576431998231,1.3555533405017142,0.2826920709209166,0.7527106240324448,0.08363182648272183,0.8041972426288206,0.7986423115573349,0.005554931071485747,0.0071220939356841,-0.0015671628641982,0.0,8.940017107823978,30,0.5871326448521975,0.15967674625212305,0.02906070801661064,1.5348284192157362,0.007122093935683995,1.0495077029659683e-16
2012,development,logit_F1_wf,f10,30,2.003576431998231,0.03382031246116687,-0.17222245825550084,1.453349720374617,-0.06740318803616469,0.523354218253832,0.513355456703192,0.009998761550639945,0.0446012572837284,-0.0034632537632723,-0.0311392419698161,10.223939893458136,26,0.546681823823986,0.3065440472522635,0.11712890468134876,1.242196016838178,0.04460125728372849,9.020562075079397e-17
2012,development,logit_F1_wf,soft,30,2.003576431998231,0.03382031246116687,-0.17222245825550084,1.453349720374617,-0.06740318803616469,0.5186473875412005,0.513355456703192,0.005291930838008496,0.0149030407974006,-0.009611109959392,0.0,8.940017107823978,30,0.5871326448521975,0.29911135495675995,0.03246251460956631,1.5348284192157362,0.014903040797400584,1.5612511283791264e-17
