block,dist,median,shape,beta,n_obj,n_events,counts,upsilon,mu0,tau,delta_star,object_auc_limit,top10_share_theory,neff_ratio_theory,scenario_no,rule,n_replicates,n_evaluable,gap_median,gap_median_lo,gap_median_hi,gap_mean,gap_sd,p10,p_pos10,p_neg10,class,cell_auc_median,object_auc_median,capture_median,object_capture_median,term_size_weight_median,term_within_object_median,term_erasure_median,n_eff_median,n_survive_median,n_K_median,top10_share_median,max_event_share_median,sd_A_median,rho_wA_median,concentration_factor_median,n_pos_cells_median,n_polygons_median,erased_frac_median,erasure_median_lo,erasure_median_hi,grid_pass_rate,object_pass_rate,unit_flip_rate,auc_unit_flip_rate,rule_flip_rate,B_n,B_max_event_share_median,B_v1_auc_median,B_v2_auc_median,B_v1_minus_v2_auc_median,B_p_abs_v1_v2_ge_01,B_v1_pass_rate,B_v2_pass_rate,B_v1_v2_flip_rate,B_n_events_used_median
A,lognormal,5000.0,0.5,-0.5,200,1,equal,0.0,0.95,0.5,-0.055008852533911856,0.7260243075020016,0.21723908042730522,0.7788007830714049,3,f10,200,200,-0.03627709857475381,-0.03774691387314755,-0.034525798203099534,-0.037000041727554514,0.009949670499749286,0.0,0.0,0.0,없음,0.6889120633624779,0.7254299639172844,0.48081486153661324,0.5311637297372629,-0.03222973557736308,-0.0016555808192045274,-0.002014752005405629,162.84111097428016,198.0,200.0,0.1937163237602028,1.0,0.2735433213801156,-0.26011686476261436,0.4610502841322341,361.5,200.0,0.010000000000000009,-0.0024372301070865188,-0.0015315704670523234,0.23,0.81,0.58,0.565,0.0,,,,,,,,,,
A,lognormal,5000.0,0.5,-0.5,200,1,equal,0.0,0.95,0.5,-0.055008852533911856,0.7260243075020016,0.21723908042730522,0.7788007830714049,3,f25,200,200,-0.06657194117603227,-0.07021597627728282,-0.0623352702323412,-0.06688734447702738,0.017145037006224256,0.03,0.0,0.03,없음,0.6610522708464968,0.7254299639172844,0.43529411764705883,0.5311637297372629,-0.024635835760821623,-0.00280931007480284,-0.0387940889036788,120.97462347815127,142.0,200.0,0.2558599963405658,1.0,0.2860884664056589,-0.21014439767432358,0.4146885855518541,174.0,200.0,0.29000000000000004,-0.04157360591972459,-0.036674869199514015,0.04,0.81,0.77,0.84,0.19,,,,,,,,,,
A,lognormal,5000.0,0.5,-0.5,200,1,equal,0.0,0.95,0.5,-0.055008852533911856,0.7260243075020016,0.21723908042730522,0.7788007830714049,3,f50,200,200,-0.15735956015270502,-0.16977185518715554,-0.1470606516646401,-0.15715145007641873,0.0477191778804193,0.89,0.0,0.89,벌어짐,0.5676726388611107,0.7254299639172844,0.3111111111111111,0.5311637297372629,-0.00893809807430146,-0.00456566362302363,-0.1394795357367718,32.995695030235545,35.0,200.0,0.6060606060606061,1.0,0.303654861926559,-0.12971765883881342,0.24637964112023503,36.0,200.0,0.825,-0.14877536394289947,-0.13237030859947785,0.0,0.81,0.81,0.9,0.23,,,,,,,,,,
A,lognormal,5000.0,0.5,-0.5,200,1,equal,0.0,0.95,0.5,-0.055008852533911856,0.7260243075020016,0.21723908042730522,0.7788007830714049,3,rep_point,200,200,-0.0021590130119987228,-0.002474519593948399,-0.0016199422533748065,-0.002120441154984645,0.002475706813566063,0.0,0.0,0.0,없음,0.7238835207118354,0.7254299639172844,0.535,0.5311637297372629,-2.7755575615628914e-16,-0.0023601932126155467,0.0,199.46491088603324,200.0,200.0,0.101963931508288,1.0,0.2765210250757137,-4.1561323614507625e-16,0.05179403815756908,200.0,200.0,0.0,0.0,0.0,0.805,0.81,0.045,0.02,0.575,,,,,,,,,,
A,lognormal,5000.0,0.5,-0.5,200,1,equal,0.0,0.95,0.5,-0.055008852533911856,0.7260243075020016,0.21723908042730522,0.7788007830714049,3,soft,200,200,-0.0580348819022638,-0.05971503729812444,-0.05583883779911658,-0.05787199590457865,0.011267420444600204,0.0,0.0,0.0,없음,0.6705441053811629,0.7254299639172844,0.45326848463762887,0.5311637297372629,-0.05517813488973289,-0.0029034531119739304,0.0,156.51423952349887,200.0,200.0,0.21644482070184207,1.0,0.27246983548797304,-0.3798048315863053,0.527104356990205,669.5,200.0,0.0,0.0,0.0,0.045,0.81,0.765,0.81,0.185,,,,,,,,,,
A,lognormal,5000.0,0.5,0.0,30,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.21723908042730522,0.7788007830714049,4,any,200,200,-0.0017751997608970171,-0.0033650598607276594,0.000849750255171311,-0.0020778216702731773,0.01812151669837102,0.0,0.0,0.0,없음,0.7390102015721038,0.7434898173370701,0.5352206273258905,0.5408194767039742,-0.000928186967808442,-0.0005930824113531408,0.0,26.596938087922155,30.0,30.0,0.16129032258064516,1.0,0.24659629076504486,-0.012157009372573892,0.3576993113193245,100.0,30.0,0.0,0.0,0.0,0.63,0.665,0.115,0.07,0.12,,,,,,,,,,
A,lognormal,5000.0,0.5,0.0,30,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.21723908042730522,0.7788007830714049,4,center,200,200,0.004031462527822882,-0.005202397295906325,0.008313801993473757,-0.0009376295942317825,0.04595951508679182,0.03,0.015,0.015,없음,0.7432032994410402,0.7434898173370701,0.5294117647058824,0.5408194767039742,0.0,5.186694276976267e-05,-0.001665447712422219,15.0,16.0,30.0,0.25,1.0,0.25033266414387256,1.8868891467395342e-16,0.23385358667337133,17.0,30.0,0.4666666666666667,-0.00943734609876945,0.0034633295432346944,0.6,0.665,0.195,0.22,0.2,,,,,,,,,,
A,lognormal,5000.0,0.5,0.0,30,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.21723908042730522,0.7788007830714049,4,f01,200,200,-0.0005968385208740545,-0.003923907295660944,0.0043853068694165165,-0.0012944037908518401,0.018349310813605198,0.0,0.0,0.0,없음,0.7405560757144158,0.7434898173370701,0.536462289744981,0.5408194767039742,-0.0009575230642617782,-0.0007385379011180526,0.0,26.265625,30.0,30.0,0.16049382716049382,1.0,0.24703817237251854,-0.009850866008866607,0.37706402033512926,88.0,30.0,0.0,0.0,0.0,0.62,0.665,0.135,0.065,0.11,,,,,,,,,,
A,lognormal,5000.0,0.5,0.0,30,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.21723908042730522,0.7788007830714049,4,f10,200,200,-0.00157151305494313,-0.005371046681707847,0.002775155821170827,-0.0027805262278637194,0.021991532069405854,0.0,0.0,0.0,없음,0.7407153337800679,0.7434898173370701,0.5409698996655519,0.5408194767039742,-0.0013457729246473815,-0.0009463577739185491,0.0,24.581818181818175,30.0,30.0,0.19098277608915906,1.0,0.2487933226908272,-0.01296015935552247,0.45070373781663176,54.0,30.0,0.0,0.0,0.0,0.61,0.665,0.145,0.095,0.0,,,,,,,,,,
A,lognormal,5000.0,0.5,0.0,30,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.21723908042730522,0.7788007830714049,4,f25,200,200,-0.0025949791888763007,-0.0074110574442680655,0.0031391331011590973,-0.0025362099189697356,0.039887178198770495,0.02,0.0,0.02,없음,0.739978665469969,0.7434898173370701,0.5334821428571428,0.5408194767039742,0.0010812794239797863,-0.001100554485142069,0.0009708199552324603,18.64102564102564,21.0,30.0,0.25,1.0,0.25165721863797946,0.01122012594513792,0.35334312986067556,26.0,30.0,0.30000000000000004,-0.006505448313658624,0.004986272166069505,0.585,0.665,0.18,0.185,0.175,,,,,,,,,,
A,lognormal,5000.0,0.5,0.0,30,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.21723908042730522,0.7788007830714049,4,f50,200,121,0.004690788681206648,-0.009832592553516428,0.032830998365248276,-0.001342629605117655,0.10564451463396454,0.371900826446281,0.17355371900826447,0.19834710743801653,가끔,0.7488636079509938,0.7408712633468365,0.5714285714285714,0.540524412670519,0.0,0.0017907671332541009,0.006354315690952794,5.999999999999999,6.0,30.0,0.5454545454545454,1.0,0.22904922794929433,-2.323562571356103e-16,1.4901161193847656e-08,6.0,30.0,0.8,-0.013824639460300214,0.0330455789003804,0.5785123966942148,0.6446280991735537,0.3305785123966942,0.32231404958677684,0.36363636363636365,,,,,,,,,,
A,lognormal,5000.0,0.5,0.0,30,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.21723908042730522,0.7788007830714049,4,rep_point,200,200,-0.00015807615141150144,-0.0013057043494134613,0.0012171604511949097,0.0002675008146833541,0.006145657661976334,0.0,0.0,0.0,없음,0.7411913101492786,0.7434898173370701,0.5333333333333333,0.5408194767039742,0.0,-8.008418251309601e-05,0.0,30.0,30.0,30.0,0.1,1.0,0.2538691503856839,0.0002479017594028792,0.0,30.0,30.0,0.0,0.0,0.0,0.68,0.665,0.025,0.03,0.15,,,,,,,,,,
A,lognormal,5000.0,0.5,0.0,30,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.21723908042730522,0.7788007830714049,4,soft,200,200,-0.0019193958791621224,-0.006601105400028673,0.002094086245394977,-0.0019621030936623606,0.023971201331385066,0.0,0.0,0.0,없음,0.7417305037412711,0.7434898173370701,0.5316036177285155,0.5408194767039742,-0.0013712362430033376,-0.0004928173207917608,0.0,24.192985311526705,30.0,30.0,0.20496474784085306,1.0,0.24687945895005636,-0.012984361313569798,0.48992738955210813,100.0,30.0,0.0,0.0,0.0,0.595,0.665,0.13,0.145,0.095,,,,,,,,,,
A,lognormal,5000.0,0.5,0.0,200,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.21723908042730522,0.7788007830714049,5,any,200,200,0.000555221675209272,-0.0006576250280218021,0.00149718716419589,0.0006568345175428192,0.006945113290567445,0.0,0.0,0.0,없음,0.7358582982791928,0.736128074019105,0.5321251588600477,0.5305553451015657,0.0008650715172817125,0.00018114754566339597,0.0,176.22069125264596,200.0,200.0,0.1657656642262209,1.0,0.25475843235607876,0.009922806987896174,0.36734243494485314,666.5,200.0,0.0,0.0,0.0,0.845,0.855,0.09,0.01,0.09,,,,,,,,,,
A,lognormal,5000.0,0.5,0.0,200,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.21723908042730522,0.7788007830714049,5,center,200,200,-0.0036215394882002094,-0.008058840923519162,-0.0005600392806163201,-0.0027065737114678845,0.02047359257048596,0.0,0.0,0.0,없음,0.73469229184676,0.736128074019105,0.539142273655548,0.5305553451015657,-0.0005583181979865737,-0.00314796841488163,-0.00012497298326463735,97.14075660110753,104.0,200.0,0.2601502115929004,1.0,0.2589587261956513,-0.008491928022426482,0.2819796853604334,113.0,200.0,0.48,-0.0043379217589188945,0.003849361086665559,0.71,0.855,0.225,0.1,0.195,,,,,,,,,,
A,lognormal,5000.0,0.5,0.0,200,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.21723908042730522,0.7788007830714049,5,f01,200,200,1.3983812407525331e-05,-0.0010420028821231941,0.0017539257338048397,-2.6101265233888783e-05,0.007325430609070982,0.0,0.0,0.0,없음,0.7357580761050795,0.736128074019105,0.5336791583267957,0.5305553451015657,0.0005360527895519884,-0.0003396278938852526,0.0,173.97551455613424,200.0,200.0,0.1641192557311034,1.0,0.2556929099420644,0.005336520253352252,0.38676480975105565,585.0,200.0,0.0,0.0,0.0,0.83,0.855,0.085,0.03,0.095,,,,,,,,,,
A,lognormal,5000.0,0.5,0.0,200,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.21723908042730522,0.7788007830714049,5,f10,200,200,-0.002023025402099088,-0.003513961133391419,-0.00017981159355606735,-0.0016443898373510336,0.008724734624135462,0.0,0.0,0.0,없음,0.7344407763811746,0.736128074019105,0.5294946147473074,0.5305553451015657,-5.5041865468341555e-05,-0.0019162399663453233,0.0,163.69360276672535,198.0,200.0,0.19346049046321526,1.0,0.25879003828913044,-0.0005028243254069051,0.45853190090801565,361.0,200.0,0.010000000000000009,-0.00031760687586956937,0.0,0.815,0.855,0.1,0.02,0.0,,,,,,,,,,
A,lognormal,5000.0,0.5,0.0,200,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.21723908042730522,0.7788007830714049,5,f25,200,200,-0.002441842083945933,-0.004567407690553971,-0.0006126125909646785,-0.0025620861637766917,0.014737183456091044,0.0,0.0,0.0,없음,0.7340192532396772,0.736128074019105,0.5340463458110517,0.5305553451015657,-0.00018520792046833323,-0.0029723971857119613,0.00021983388320423458,120.99611674380007,141.0,200.0,0.2556818181818182,1.0,0.2587884187620555,-0.0020345586199627804,0.40782870568268775,173.0,200.0,0.29500000000000004,-0.0016587716616521808,0.0033025615619022286,0.745,0.855,0.17,0.06,0.12,,,,,,,,,,
