score,stratum,unit,metric,role_group,median,n_events,n_pass_gate
slope_neg,AGRI,cell_gate,capture_0.2,holdout,0.5225,1,1
slope_neg,AGRI,cell_gate,observed-label_auc,all,0.6856,5,2
slope_neg,AGRI,cell_gate,observed-label_auc,development,0.6158,4,1
slope_neg,AGRI,cell_gate,observed-label_auc,holdout,0.7818,1,1
slope_neg,AGRI,object,observed-label_auc,all,0.5725,5,1
slope_neg,AGRI,object,observed-label_auc,development,0.5745,4,1
slope_neg,AGRI,object,observed-label_auc,holdout,0.5725,1,0
slope_neg,ALL,cell_gate,capture_0.2,all,0.8493,8,8
slope_neg,ALL,cell_gate,capture_0.2,development,0.8493,6,6
slope_neg,ALL,cell_gate,capture_0.2,holdout,0.7275,2,2
slope_neg,ALL,cell_gate,observed-label_auc,all,0.885,8,8
slope_neg,ALL,cell_gate,observed-label_auc,development,0.885,6,6
slope_neg,ALL,cell_gate,observed-label_auc,holdout,0.8767,2,2
slope_neg,ALL,object,observed-label_auc,all,0.8353,10,10
slope_neg,ALL,object,observed-label_auc,development,0.8674,6,6
slope_neg,ALL,object,observed-label_auc,holdout,0.7956,4,4
slope_neg,FLAT,cell_gate,capture_0.2,all,0.4175,8,2
slope_neg,FLAT,cell_gate,capture_0.2,development,0.4175,6,1
slope_neg,FLAT,cell_gate,capture_0.2,holdout,0.3409,2,1
slope_neg,FLAT,cell_gate,observed-label_auc,all,0.6932,8,4
slope_neg,FLAT,cell_gate,observed-label_auc,development,0.6932,6,3
slope_neg,FLAT,cell_gate,observed-label_auc,holdout,0.6071,2,1
slope_neg,FLAT,object,observed-label_auc,all,0.5397,10,1
slope_neg,FLAT,object,observed-label_auc,development,0.5952,6,1
slope_neg,FLAT,object,observed-label_auc,holdout,0.4491,4,0
slope_neg,UNIVERSE,cell_gate,capture_0.2,all,0.5833,7,4
slope_neg,UNIVERSE,cell_gate,capture_0.2,development,0.7143,5,3
slope_neg,UNIVERSE,cell_gate,capture_0.2,holdout,0.5189,2,1
slope_neg,UNIVERSE,cell_gate,observed-label_auc,all,0.7784,7,5
slope_neg,UNIVERSE,cell_gate,observed-label_auc,development,0.8246,5,3
slope_neg,UNIVERSE,cell_gate,observed-label_auc,holdout,0.7547,2,2
slope_neg,UNIVERSE,object,observed-label_auc,all,0.684,10,5
slope_neg,UNIVERSE,object,observed-label_auc,development,0.7088,6,3
slope_neg,UNIVERSE,object,observed-label_auc,holdout,0.684,4,2
slope_neg,URBAN,cell_gate,capture_0.2,all,0.5224,6,3
slope_neg,URBAN,cell_gate,capture_0.2,development,0.5784,4,3
slope_neg,URBAN,cell_gate,capture_0.2,holdout,0.3048,2,0
slope_neg,URBAN,cell_gate,observed-label_auc,all,0.6999,6,3
slope_neg,URBAN,cell_gate,observed-label_auc,development,0.7547,4,3
slope_neg,URBAN,cell_gate,observed-label_auc,holdout,0.5804,2,0
slope_neg,URBAN,object,observed-label_auc,all,0.5254,9,0
slope_neg,URBAN,object,observed-label_auc,development,0.5254,5,0
slope_neg,URBAN,object,observed-label_auc,holdout,0.4977,4,0
