prior,config,held_event,n_test,n_positive,grid_auc,cluster_auc,observed_label_ap,top20_capture
"2006,2012",ridge|F0|C=0.1,2006,75194,107,0.8329754307433284,0.8444885693987704,0.003952395180479197,0.7850467289719626
"2006,2012",ridge|F0|C=0.1,2012,75293,206,0.6000378719261709,0.5278324079883788,0.0038814547064157908,0.3446601941747573
"2006,2012",ridge|F0|C=1.0,2006,75194,107,0.8372235869942269,0.8526646949241901,0.004005577535289292,0.794392523364486
"2006,2012",ridge|F0|C=1.0,2012,75293,206,0.552679345034194,0.5008183012958364,0.003721422367391198,0.3592233009708738
"2006,2012","frequency_ratio|F0|n_bins=5,alpha=1.0",2006,75194,107,0.853741746801125,0.8611122884448408,0.005797774035991992,0.794392523364486
"2006,2012","frequency_ratio|F0|n_bins=5,alpha=1.0",2012,75293,206,0.8407177770873165,0.6829901508622499,0.01137099091705667,0.7524271844660194
"2006,2012","frequency_ratio|F0|n_bins=10,alpha=1.0",2006,75194,107,0.8436861216067244,0.8485161084110177,0.004354868870966133,0.7570093457943925
"2006,2012","frequency_ratio|F0|n_bins=10,alpha=1.0",2012,75293,206,0.8364553428702317,0.7017763936844847,0.008675673330469615,0.7281553398058253
"2006,2012","random_forest|F0|max_depth=2,min_samples_leaf=200",2006,75194,107,0.8305635245047209,0.8422922742951511,0.0040796737195555105,0.7663551401869159
"2006,2012","random_forest|F0|max_depth=2,min_samples_leaf=200",2012,75293,206,0.8329769829457376,0.6878058641838848,0.008732428295084242,0.7427184466019418
"2006,2012","random_forest|F0|max_depth=4,min_samples_leaf=400",2006,75194,107,0.8274602084634783,0.8404789798672249,0.0038330775738601103,0.7102803738317757
"2006,2012","random_forest|F0|max_depth=4,min_samples_leaf=400",2012,75293,206,0.8161422717285489,0.6606308976260028,0.007636671376391382,0.6359223300970874
"2006,2012",xgboost|F0|max_depth=1,2006,75194,107,0.8520364352429064,0.8643198692384221,0.005238710552243533,0.7663551401869159
"2006,2012",xgboost|F0|max_depth=1,2012,75293,206,0.8105210900339425,0.5920340418275718,0.00897696112570679,0.7718446601941747
"2006,2012",xgboost|F0|max_depth=3,2006,75194,107,0.8253839875961952,0.8461126332573518,0.003925991694456992,0.6635514018691588
"2006,2012",xgboost|F0|max_depth=3,2012,75293,206,0.8079304382321039,0.6849488771259826,0.007062719735247346,0.6067961165048543
"2006,2012",ridge|F1|C=0.1,2006,75194,107,0.8377957581666327,0.8491791815400943,0.004077487105969795,0.7850467289719626
"2006,2012",ridge|F1|C=0.1,2012,75293,206,0.5576835078428765,0.5002392299029284,0.003765463756321433,0.3592233009708738
"2006,2012",ridge|F1|C=1.0,2006,75194,107,0.8411966729186044,0.8562483269535347,0.004115223902661027,0.794392523364486
"2006,2012",ridge|F1|C=1.0,2012,75293,206,0.5277834992961563,0.4862770228053322,0.003661311251189624,0.36893203883495146
"2006,2012","frequency_ratio|F1|n_bins=5,alpha=1.0",2006,75194,107,0.853741746801125,0.8611122884448408,0.005797774035991992,0.794392523364486
"2006,2012","frequency_ratio|F1|n_bins=5,alpha=1.0",2012,75293,206,0.8407182296367928,0.6829903173358073,0.011371026505405833,0.7524271844660194
"2006,2012","frequency_ratio|F1|n_bins=10,alpha=1.0",2006,75194,107,0.8246612123083641,0.8284432904732711,0.003859236435342274,0.7102803738317757
"2006,2012","frequency_ratio|F1|n_bins=10,alpha=1.0",2012,75293,206,0.8085481682672049,0.673577483112358,0.007147482239258986,0.6504854368932039
"2006,2012","random_forest|F1|max_depth=2,min_samples_leaf=200",2006,75194,107,0.8280816682554779,0.8304411245474451,0.004021822852547445,0.7663551401869159
"2006,2012","random_forest|F1|max_depth=2,min_samples_leaf=200",2012,75293,206,0.8212177434047057,0.6888117209935141,0.00881090897234572,0.7524271844660194
"2006,2012","random_forest|F1|max_depth=4,min_samples_leaf=400",2006,75194,107,0.8141058552764151,0.829898168099403,0.003539865269902144,0.6728971962616822
"2006,2012","random_forest|F1|max_depth=4,min_samples_leaf=400",2012,75293,206,0.7897723430464674,0.700037636547021,0.006619067656711406,0.6310679611650486
"2006,2012",xgboost|F1|max_depth=1,2006,75194,107,0.8483965453656314,0.8585918082080598,0.0051025195782998575,0.7663551401869159
"2006,2012",xgboost|F1|max_depth=1,2012,75293,206,0.8098606910482222,0.5997170757569276,0.00868626444814384,0.7621359223300971
"2006,2012",xgboost|F1|max_depth=3,2006,75194,107,0.8341272410608057,0.8492490380385584,0.004206923484642244,0.6822429906542056
"2006,2012",xgboost|F1|max_depth=3,2012,75293,206,0.798370524495792,0.6739364188899307,0.006668933155840854,0.5436893203883495
"2006,2012",ridge|F2|C=0.1,2006,75194,107,0.8018526546589134,0.8530607843595744,0.0033796134676177675,0.37383177570093457
"2006,2012",ridge|F2|C=0.1,2012,75293,206,0.5824799866459115,0.39841832563913476,0.003973061894019343,0.4029126213592233
"2006,2012",ridge|F2|C=1.0,2006,75194,107,0.7992533023063964,0.8555658436725432,0.0035402043061278973,0.38317757009345793
"2006,2012",ridge|F2|C=1.0,2012,75293,206,0.6405521698389738,0.48174386506280686,0.004775412260040139,0.3932038834951456
"2006,2012","frequency_ratio|F2|n_bins=5,alpha=1.0",2006,75194,107,0.8382440854589983,0.8480454285931542,0.004908486720240857,0.794392523364486
"2006,2012","frequency_ratio|F2|n_bins=5,alpha=1.0",2012,75293,206,0.7739905851606959,0.5336234327700468,0.006203586376444652,0.4077669902912621
"2006,2012","frequency_ratio|F2|n_bins=10,alpha=1.0",2006,75194,107,0.8202975514135689,0.7830984854292012,0.003813474388987423,0.6822429906542056
"2006,2012","frequency_ratio|F2|n_bins=10,alpha=1.0",2012,75293,206,0.757334760286482,0.5459860126094639,0.005682677329912993,0.45145631067961167
"2006,2012","random_forest|F2|max_depth=2,min_samples_leaf=200",2006,75194,107,0.8042691661473315,0.8242688742195766,0.0035305999718735995,0.719626168224299
"2006,2012","random_forest|F2|max_depth=2,min_samples_leaf=200",2012,75293,206,0.8048927968475663,0.5853366597445603,0.0069886962480834106,0.7038834951456311
"2006,2012","random_forest|F2|max_depth=4,min_samples_leaf=400",2006,75194,107,0.8089604221097296,0.8329990912538383,0.003390990242413766,0.5700934579439252
