score,unit,stratum,storm,metric,value,ci_lo,ci_hi,n_units,test_event,role,year,n_polygons,train_events,nested_status,run_id
nested_all,cluster_gate,FLAT,ALL,observed-label_auc,0.4417,0.3049,0.589,13,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_all,cell_gate,FLAT,ALL,capture_0.2,0.2804,,,107,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_all,object,FLAT,ALL,capture_0.2,0.17078547607610103,,,43,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
slope_neg,object,FLAT,ALL,observed-label_auc,0.48867738041348724,0.4276346733654628,0.5543478435717956,43,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
rf_F1_wf,object,FLAT,ALL,observed-label_auc,0.5652316261289961,0.48658151026321256,0.6463402541748537,43,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_rf,object,FLAT,ALL,observed-label_auc,0.5639489784251932,0.4857252782434552,0.6440654648108171,43,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_all,object,FLAT,ALL,observed-label_auc,0.44721995047440244,0.3733070434007216,0.5316431345099232,43,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,URBAN,ALL,observed-label_auc,0.563245387135713,0.2198,0.718,30,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
slope_neg,cluster_gate,URBAN,ALL,observed-label_auc,0.3698,0.1763,0.5728,9,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,URBAN,ALL,capture_0.2,0.2333,,,30,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
slope_neg,object,URBAN,ALL,capture_0.2,0.13327535831091128,,,24,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
rf_F1_wf,cell_gate,URBAN,ALL,observed-label_auc,0.6569029142955682,0.4523,0.7665,30,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
rf_F1_wf,cluster_gate,URBAN,ALL,observed-label_auc,0.5208,0.3264,0.7226,9,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
