200	10.1002/ecm.1486
200	10.1002/hyp.13628
200	10.1007/s10346-020-01485-5
200	10.1007/s10994-020-05877-5
200	10.1007/s11069-012-0152-2
200	10.1007/s11069-019-03820-z
200	10.1007/s11205-017-1832-9
200	10.1007/s13753-022-00446-x
404	10.1016/S0378-4754(00
200	10.1016/j.apgeog.2023.103017
200	10.1016/j.artint.2021.103502
200	10.1016/j.cliser.2026.100677
200	10.1016/j.ecolind.2017.03.056
200	10.1016/j.ecolmodel.2006.05.017
200	10.1016/j.ecolmodel.2007.11.008
200	10.1016/j.ecolmodel.2021.109692
200	10.1016/j.envsoft.2021.105278
200	10.1016/j.envsoft.2022.105490
200	10.1016/j.envsoft.2025.106790
200	10.1016/j.gloenvcha.2025.103086
200	10.1016/j.gsf.2021.101248
200	10.1016/j.ijdrr.2025.105362
200	10.1016/j.jhydrol.2022.128985
200	10.1016/j.jhydrol.2024.131902
200	10.1016/j.jhydrol.2024.131903
200	10.1016/j.jhydrol.2026.135531
200	10.1016/j.patter.2023.100804
200	10.1016/j.rse.2024.114439
200	10.1016/j.scitotenv.2019.06.355
200	10.1016/j.scs.2024.105984
200	10.1016/j.wasec.2023.100141
200	10.1016/j.watres.2024.121591
200	10.1029/2020WR027899
200	10.1029/2022WR032039
200	10.1029/2023WR036460
200	10.1029/2024EF004549
200	10.1038/s41467-020-18321-y
200	10.1038/s41467-022-29838-9
200	10.1038/s41467-024-47394-2
200	10.1038/s42256-019-0138-9
200	10.1038/s44221-025-00496-7
200	10.1038/sdata.2016.18
200	10.1073/pnas.2016191118
200	10.1080/19475705.2020.1833990
200	10.1080/24694452.2018.1535887
200	10.1093/jamia/ocac093
200	10.1111/2041-210X.13107
200	10.1111/2041-210X.13650
200	10.1111/ecog.02881
200	10.1111/j.0906-7590.2008.5203.x
200	10.1111/j.1467-985X.2005.00350.x
200	10.1111/j.1472-4642.2010.00725.x
200	10.1111/j.1600-0587.2013.07872.x
200	10.1111/jfr3.12855
200	10.1111/risa.12677
200	10.1111/risa.14238
200	10.1136/bmj-2023-078378
200	10.1136/bmj.m441
200	10.1177/0309133307083294
200	10.1186/s12874-016-0267-3
200	10.1186/s12916-019-1466-7
200	10.1186/s40677-024-00281-w
200	10.1198/016214506000001437
200	10.1371/journal.pone.0118432
200	10.17208/jkpa.2018.10.53.5.185
200	10.1787/9789264043466-en
200	10.1890/07-2153.1
200	10.1890/12-1520.1
200	10.2307/2531595
200	10.3390/land11111971
200	10.3390/rs15225384
200	10.3390/rs17030375
200	10.3390/su16083450
200	10.3390/w11102115
200	10.5194/nhess-21-1513-2021
200	10.5194/nhess-24-4015-2024
200	10.1029/2019WR025128
200	10.1029/2018WR024143
200	10.5194/hess-21-1359-2017
200	10.1002/(SICI)1099-1255(199611)11:6<619::AID-JAE418>3.0.CO;2-1
200	10.1002/hyp.7148
200	10.3390/w12061514
200	10.1016/j.cageo.2018.04.010
200	10.1016/j.jhydrol.2011.03.051
200	10.1016/j.envsoft.2016.07.008
200	10.1016/j.envsoft.2023.105787
200	10.1016/j.jhydrol.2024.131043
200	10.1175/2007MWR2123.1
200	10.1016/j.jhydrol.2022.128170
200	10.1175/MWR3145.1
200	10.1145/1143844.1143874
200	10.1175/1520-0450(1973)012<0595:ANVPOT>2.0.CO;2
200	10.1038/s41598-026-38391-0
200	10.1080/19475705.2022.2097131
200	10.1016/j.ecolmodel.2019.06.002
200	10.5194/nhess-5-853-2005
200	10.1016/j.envsoft.2017.12.001
200	10.1016/j.jhydrol.2022.128150
200	10.5194/nhess-21-807-2021
200	10.1080/19475705.2017.1308971
200	10.5194/hess-17-913-2013
200	10.1088/1748-9326/ab127c
200	10.1016/j.catena.2018.12.011
200	10.1016/j.advwatres.2017.01.007
200	10.3390/su18073390
200	10.1016/j.ijdrr.2018.10.022
200	10.1371/currents.dis.453df025e34b682e9737f95070f9b970
200	10.5194/nhess-9-393-2009
200	10.3390/su12156006
200	10.1016/j.ijdrr.2020.101687
200	10.1016/j.geomorph.2015.10.030
200	10.5194/nhess-14-95-2014
200	10.5194/nhess-16-2729-2016
200	10.1007/s10346-017-0820-0
200	10.1002/hyp.9979
200	10.1016/j.compenvurbsys.2022.101854
200	10.5194/nhess-17-1659-2017
200	10.5194/nhess-23-809-2023
200	10.5194/hess-28-5443-2024
200	10.1016/j.ijdrr.2024.105170
200	10.1080/19475705.2024.2311889
200	10.2139/ssrn.7294469
200	10.1088/1748-9326/ac4f0f
200	10.3390/rs17030524
200	10.1073/pnas.1708274114
