test_event,role,rule,size_m,score,cell_auc,cell_auc_sklearn,identity_abs_diff,auc_from_objects,object_auc,mean_A_survivors,mean_At_survivors,term_size_weight,term_within_object,term_erasure,n_eff,n_objects,n_survive,n_survive_no_At,orphan_weight,n_orphan_cells
2006,development,any,100,slope_neg,0.888476111189133,0.8884761111891329,2.220446049250313e-16,0.8884761111891328,0.8851852285358418,0.8556787053608143,0.8851852285358418,0.03279740582831858,-0.029506523175027555,0.0,12.82192266054583,19,19,0.0,0.0,0.0
2006,development,any,100,relelev_neg,0.5002962721165554,0.5002962721165554,0.0,0.5002962721165554,0.496765423322278,0.4858284274061837,0.496765423322278,0.014467844710371658,-0.010936995916094316,0.0,12.82192266054583,19,19,0.0,0.0,0.0
2006,development,any,100,twi,0.8607943846206726,0.8607943846206726,0.0,0.8607943846206726,0.8422664708504762,0.8100272167196354,0.8422664708504762,0.05076716790103719,-0.03223925413084083,0.0,12.82192266054583,19,19,0.0,0.0,0.0
2006,development,any,100,impervious,0.5036099334030891,0.503609933403089,1.1102230246251565e-16,0.503609933403089,0.5081832871054498,0.5667607313405537,0.5081832871054498,-0.0631507979374647,0.058577444235103915,0.0,12.82192266054583,19,19,0.0,0.0,0.0
2006,development,any,100,hand_neg,0.9220615604958141,0.922061560495814,2.220446049250313e-16,0.9220615604958139,0.9169905877075856,0.8961862652775062,0.9169905877075856,0.02587529521830767,-0.020804322430079347,0.0,12.82192266054583,19,19,0.0,0.0,0.0
2006,development,any,100,hand_acc_neg,0.9301931230286308,0.9301931230286306,4.440892098500626e-16,0.9301931230286303,0.9213673295683819,0.9000760908135315,0.9213673295683819,0.03011703221509887,-0.021291238754850395,0.0,12.82192266054583,19,19,0.0,0.0,0.0
2006,development,any,100,L1,0.3822142260381227,0.3822142260381227,5.551115123125783e-17,0.38221422603812266,0.36931948820801597,0.3718689075479991,0.36931948820801597,0.010345318490123545,0.00254941933998315,0.0,12.82192266054583,19,19,0.0,0.0,0.0
2006,development,any,100,z_sensitivity,0.7502636927272259,0.750263692727226,1.1102230246251565e-16,0.7502636927272259,0.7339420037034096,0.7283574888990433,0.7339420037034096,0.021906203828182647,-0.005584514804366281,0.0,12.82192266054583,19,19,0.0,0.0,0.0
2006,development,f01,100,slope_neg,0.8959781903021508,0.8959781903021508,0.0,0.8959781903021508,0.8851852285358418,0.8601323707869016,0.8851852285358418,0.03584581951524912,-0.02505285774894017,0.0,12.839628225595968,19,19,0.0,0.0,0.0
2006,development,f01,100,relelev_neg,0.5031615113548289,0.5031615113548289,1.1102230246251565e-16,0.5031615113548288,0.496765423322278,0.4922494471803833,0.496765423322278,0.010912064174445457,-0.004515976141894695,0.0,12.839628225595968,19,19,0.0,0.0,0.0
2006,development,f01,100,twi,0.8721603606551112,0.8721603606551112,1.1102230246251565e-16,0.872160360655111,0.8422664708504762,0.8189298612157748,0.8422664708504762,0.05323049943933622,-0.02333660963470141,0.0,12.839628225595968,19,19,0.0,0.0,0.0
