verdict,rule,size_m,kendall_tau_b,n_scores,L1_rank,order
V1,f25,500,0.8666666666666666,10,10.0,hand_neg>hand_acc_neg>twi>slope_neg>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>impervious>L1
V2,f25,500,0.4666666666666666,10,9.0,twi>z_sensitivity>hand_acc_neg>hand_neg>impervious>slope_neg>logit_F1_wf>rf_F1_wf>L1>relelev_neg
V1,f25,1000,0.7777777777777777,10,10.0,hand_neg>twi>hand_acc_neg>slope_neg>logit_F1_wf>rf_F1_wf>z_sensitivity>impervious>relelev_neg>L1
V2,f25,1000,0.4222222222222222,10,10.0,hand_neg>twi>hand_acc_neg>slope_neg>logit_F1_wf>rf_F1_wf>z_sensitivity>impervious>relelev_neg>L1
V1,f50,100,0.8666666666666666,10,10.0,slope_neg>hand_acc_neg>hand_neg>twi>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>impervious>L1
V2,f50,100,0.7333333333333333,10,9.0,slope_neg>rf_F1_wf>hand_acc_neg>z_sensitivity>hand_neg>twi>logit_F1_wf>impervious>L1>relelev_neg
V1,f50,200,0.911111111111111,10,10.0,hand_neg>hand_acc_neg>slope_neg>twi>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>impervious>L1
V2,f50,200,0.5555555555555555,10,9.0,rf_F1_wf>twi>hand_acc_neg>slope_neg>z_sensitivity>hand_neg>logit_F1_wf>impervious>L1>relelev_neg
V1,f50,500,0.8666666666666666,10,10.0,hand_neg>hand_acc_neg>twi>slope_neg>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>impervious>L1
V2,f50,500,0.4222222222222222,10,10.0,hand_neg>hand_acc_neg>twi>slope_neg>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>impervious>L1
V1,f50,1000,0.8666666666666666,10,10.0,hand_neg>twi>slope_neg>hand_acc_neg>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>impervious>L1
V2,f50,1000,0.3333333333333333,10,10.0,hand_neg>twi>slope_neg>hand_acc_neg>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>impervious>L1
V1,rep_point,100,0.6444444444444444,10,8.0,hand_acc_neg>hand_neg>rf_F1_wf>logit_F1_wf>slope_neg>twi>z_sensitivity>L1>relelev_neg>impervious
V2,rep_point,100,0.6444444444444444,10,7.0,hand_acc_neg>z_sensitivity>hand_neg>rf_F1_wf>logit_F1_wf>impervious>L1>twi>slope_neg>relelev_neg
V1,rep_point,200,0.6,10,8.0,hand_neg>hand_acc_neg>rf_F1_wf>logit_F1_wf>twi>slope_neg>z_sensitivity>L1>impervious>relelev_neg
V2,rep_point,200,0.19999999999999998,10,7.0,impervious>rf_F1_wf>z_sensitivity>hand_neg>hand_acc_neg>logit_F1_wf>L1>twi>slope_neg>relelev_neg
V1,rep_point,500,0.37777777777777777,10,9.0,twi>rf_F1_wf>logit_F1_wf>hand_neg>hand_acc_neg>slope_neg>z_sensitivity>impervious>L1>relelev_neg
V2,rep_point,500,0.24444444444444444,10,9.0,rf_F1_wf>logit_F1_wf>impervious>z_sensitivity>twi>hand_acc_neg>slope_neg>hand_neg>L1>relelev_neg
V1,rep_point,1000,0.15555555555555553,10,9.0,logit_F1_wf>rf_F1_wf>z_sensitivity>twi>hand_neg>hand_acc_neg>slope_neg>impervious>L1>relelev_neg
V2,rep_point,1000,0.15555555555555553,10,8.0,rf_F1_wf>logit_F1_wf>z_sensitivity>impervious>twi>hand_neg>hand_acc_neg>L1>slope_neg>relelev_neg
V1,soft,100,0.8666666666666666,10,10.0,slope_neg>hand_acc_neg>hand_neg>twi>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>impervious>L1
V2,soft,100,0.4222222222222222,10,9.0,slope_neg>impervious>hand_acc_neg>hand_neg>logit_F1_wf>rf_F1_wf>twi>z_sensitivity>L1>relelev_neg
V1,soft,200,0.911111111111111,10,10.0,hand_neg>hand_acc_neg>slope_neg>twi>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>impervious>L1
V2,soft,200,0.5111111111111111,10,9.0,hand_acc_neg>hand_neg>slope_neg>impervious>rf_F1_wf>twi>logit_F1_wf>z_sensitivity>L1>relelev_neg
V1,soft,500,0.8666666666666666,10,10.0,hand_neg>hand_acc_neg>twi>slope_neg>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>impervious>L1
V2,soft,500,0.24444444444444444,10,9.0,impervious>hand_acc_neg>hand_neg>rf_F1_wf>twi>logit_F1_wf>slope_neg>z_sensitivity>L1>relelev_neg
V1,soft,1000,0.7777777777777777,10,10.0,hand_neg>twi>hand_acc_neg>slope_neg>logit_F1_wf>rf_F1_wf>z_sensitivity>impervious>relelev_neg>L1
V2,soft,1000,0.022222222222222223,10,9.0,impervious>twi>rf_F1_wf>logit_F1_wf>z_sensitivity>hand_acc_neg>slope_neg>hand_neg>L1>relelev_neg
