test_event,role,rule,size_m,score,metric,value,n_units,run_id
2006,development,f01,100,z_sensitivity,capture_0.2,0.3157894736842105,114,m4_20260926T164939Z_390f3fc
2006,development,f01,100,z_sensitivity,object_auc,0.7339420037034096,19,m4_20260926T164939Z_390f3fc
2006,development,f10,100,slope_neg,cell_auc,0.898343431163811,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,slope_neg,cell_auc_sklearn,0.898343431163811,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,slope_neg,capture_0.2,0.8691588785046729,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,slope_neg,object_auc,0.8851852285358418,19,m4_20260926T164939Z_390f3fc
2006,development,f10,100,relelev_neg,cell_auc,0.5007989349024143,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,relelev_neg,cell_auc_sklearn,0.5007989349024142,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,relelev_neg,capture_0.2,0.0,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,relelev_neg,object_auc,0.496765423322278,19,m4_20260926T164939Z_390f3fc
2006,development,f10,100,twi,cell_auc,0.8739509984110673,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,twi,cell_auc_sklearn,0.8739509984110673,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,twi,capture_0.2,0.8130841121495327,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,twi,object_auc,0.8422664708504762,19,m4_20260926T164939Z_390f3fc
2006,development,f10,100,impervious,cell_auc,0.4767214089852838,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,impervious,cell_auc_sklearn,0.47672140898528376,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,impervious,capture_0.2,0.11214953271028037,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,impervious,object_auc,0.5081832871054498,19,m4_20260926T164939Z_390f3fc
2006,development,f10,100,hand_neg,cell_auc,0.9268187297201922,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,hand_neg,cell_auc_sklearn,0.9268187297201922,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,hand_neg,capture_0.2,0.9719626168224299,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,hand_neg,object_auc,0.9169905877075856,19,m4_20260926T164939Z_390f3fc
2006,development,f10,100,hand_acc_neg,cell_auc,0.9348709483983505,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,hand_acc_neg,cell_auc_sklearn,0.9348709483983505,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,hand_acc_neg,capture_0.2,0.9719626168224299,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,hand_acc_neg,object_auc,0.9213673295683819,19,m4_20260926T164939Z_390f3fc
2006,development,f10,100,L1,cell_auc,0.38693237174000983,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,L1,cell_auc_sklearn,0.38693237174000983,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,L1,capture_0.2,0.0,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,L1,object_auc,0.36931948820801597,19,m4_20260926T164939Z_390f3fc
2006,development,f10,100,z_sensitivity,cell_auc,0.7544419303478709,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,z_sensitivity,cell_auc_sklearn,0.7544419303478709,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,z_sensitivity,capture_0.2,0.3177570093457944,107,m4_20260926T164939Z_390f3fc
2006,development,f10,100,z_sensitivity,object_auc,0.7339420037034096,19,m4_20260926T164939Z_390f3fc
2006,development,f25,100,slope_neg,cell_auc,0.9076855790078606,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,slope_neg,cell_auc_sklearn,0.9076855790078606,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,slope_neg,capture_0.2,0.9042553191489362,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,slope_neg,object_auc,0.8851852285358418,19,m4_20260926T164939Z_390f3fc
2006,development,f25,100,relelev_neg,cell_auc,0.5014262376878224,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,relelev_neg,cell_auc_sklearn,0.5014262376878224,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,relelev_neg,capture_0.2,0.0,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,relelev_neg,object_auc,0.496765423322278,19,m4_20260926T164939Z_390f3fc
2006,development,f25,100,twi,cell_auc,0.88243738596173,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,twi,cell_auc_sklearn,0.88243738596173,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,twi,capture_0.2,0.851063829787234,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,twi,object_auc,0.8422664708504762,19,m4_20260926T164939Z_390f3fc
2006,development,f25,100,impervious,cell_auc,0.45736572090833943,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,impervious,cell_auc_sklearn,0.45736572090833943,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,impervious,capture_0.2,0.06382978723404255,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,impervious,object_auc,0.5081832871054498,19,m4_20260926T164939Z_390f3fc
2006,development,f25,100,hand_neg,cell_auc,0.9328524725502927,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,hand_neg,cell_auc_sklearn,0.9328524725502927,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,hand_neg,capture_0.2,0.9893617021276596,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,hand_neg,object_auc,0.9169905877075856,19,m4_20260926T164939Z_390f3fc
2006,development,f25,100,hand_acc_neg,cell_auc,0.9402845609770293,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,hand_acc_neg,cell_auc_sklearn,0.9402845609770294,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,hand_acc_neg,capture_0.2,0.9893617021276596,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,hand_acc_neg,object_auc,0.9213673295683819,19,m4_20260926T164939Z_390f3fc
2006,development,f25,100,L1,cell_auc,0.38914123991137434,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,L1,cell_auc_sklearn,0.3891412399113744,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,L1,capture_0.2,0.0,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,L1,object_auc,0.36931948820801597,19,m4_20260926T164939Z_390f3fc
2006,development,f25,100,z_sensitivity,cell_auc,0.7583945445843371,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,z_sensitivity,cell_auc_sklearn,0.7583945445843371,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,z_sensitivity,capture_0.2,0.3404255319148936,94,m4_20260926T164939Z_390f3fc
2006,development,f25,100,z_sensitivity,object_auc,0.7339420037034096,19,m4_20260926T164939Z_390f3fc
2006,development,f50,100,slope_neg,cell_auc,0.9063945499203399,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,slope_neg,cell_auc_sklearn,0.9063945499203399,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,slope_neg,capture_0.2,0.9,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,slope_neg,object_auc,0.8851852285358418,19,m4_20260926T164939Z_390f3fc
2006,development,f50,100,relelev_neg,cell_auc,0.5013070897503983,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,relelev_neg,cell_auc_sklearn,0.5013070897503983,80,m4_20260926T164939Z_390f3fc
2006,development,f50,100,relelev_neg,capture_0.2,0.0,80,m4_20260926T164939Z_390f3fc
