verdict,rule,size_m,config_class,other,diff_ref,diff,material_reversal
V2,f01,500,both,z_sensitivity,-0.082863846552516,-0.044473544187596525,False
V2,f01,500,both,rf_F1_wf,-0.06348447564061732,-0.09657878136258569,False
V2,f01,500,both,logit_F1_wf,-0.05483917335882804,-0.0749387516768254,False
V1,f01,1000,both,slope_neg,-0.48602921064533106,-0.39965283195506335,False
V1,f01,1000,both,relelev_neg,-0.02658659385314549,-0.10007411452644716,False
V1,f01,1000,both,twi,-0.4549179144959405,-0.41787915431424555,False
V1,f01,1000,both,impervious,0.007884360784997269,-0.12237673584022485,False
V1,f01,1000,both,hand_neg,-0.48604053865047775,-0.42483226712435646,False
V1,f01,1000,both,hand_acc_neg,-0.4848484151615086,-0.4144757372444999,False
V1,f01,1000,both,z_sensitivity,-0.2991048182339064,-0.3008854735528164,False
V1,f01,1000,both,rf_F1_wf,-0.4075544816095638,-0.3521220159151193,False
V1,f01,1000,both,logit_F1_wf,-0.41059158473372864,-0.3514588859416446,False
V2,f01,1000,both,slope_neg,-0.08062375096546393,0.004889307913486629,False
V2,f01,1000,both,relelev_neg,0.24240681919101803,0.1600215517241379,False
V2,f01,1000,both,twi,-0.04935528729476246,-0.021290949597243092,False
V2,f01,1000,both,impervious,-0.016811175287431368,-0.07289100985221675,False
V2,f01,1000,both,hand_neg,-0.07073425056127736,0.03508463955817487,True
V2,f01,1000,both,hand_acc_neg,-0.08632337686517555,0.02237857829975265,True
V2,f01,1000,both,z_sensitivity,-0.082863846552516,-0.03548337438423643,False
V2,f01,1000,both,rf_F1_wf,-0.06348447564061732,0.004169290395203307,False
V2,f01,1000,both,logit_F1_wf,-0.05483917335882804,0.0048324203686780365,False
V1,f10,100,reference,slope_neg,-0.48602921064533106,-0.48602921064533106,False
V1,f10,100,reference,relelev_neg,-0.02658659385314549,-0.02658659385314549,False
V1,f10,100,reference,twi,-0.4549179144959405,-0.4549179144959405,False
V1,f10,100,reference,impervious,0.007884360784997269,0.007884360784997269,False
V1,f10,100,reference,hand_neg,-0.48604053865047775,-0.48604053865047775,False
V1,f10,100,reference,hand_acc_neg,-0.4848484151615086,-0.4848484151615086,False
V1,f10,100,reference,z_sensitivity,-0.2991048182339064,-0.2991048182339064,False
V1,f10,100,reference,rf_F1_wf,-0.4075544816095638,-0.4075544816095638,False
V1,f10,100,reference,logit_F1_wf,-0.41059158473372864,-0.41059158473372864,False
V2,f10,100,reference,slope_neg,-0.08062375096546393,-0.08062375096546393,False
V2,f10,100,reference,relelev_neg,0.24240681919101803,0.24240681919101803,False
V2,f10,100,reference,twi,-0.04935528729476246,-0.04935528729476246,False
V2,f10,100,reference,impervious,-0.016811175287431368,-0.016811175287431368,False
V2,f10,100,reference,hand_neg,-0.07073425056127736,-0.07073425056127736,False
V2,f10,100,reference,hand_acc_neg,-0.08632337686517555,-0.08632337686517555,False
V2,f10,100,reference,z_sensitivity,-0.082863846552516,-0.082863846552516,False
V2,f10,100,reference,rf_F1_wf,-0.06348447564061732,-0.06348447564061732,False
V2,f10,100,reference,logit_F1_wf,-0.05483917335882804,-0.05483917335882804,False
V1,f10,200,size_only,slope_neg,-0.48602921064533106,-0.4845199775167486,False
V1,f10,200,size_only,relelev_neg,-0.02658659385314549,-0.04118370718209352,False
