rule,size_m,score,metric,role_group,median,n_events
any,200,hand_acc_neg,object_auc,development,0.8685913797421358,6
any,200,hand_acc_neg,object_auc,holdout,0.8305977268471314,4
any,200,hand_neg,capture_0.2,all,0.7996990875558143,10
any,200,hand_neg,capture_0.2,development,0.8442982456140351,6
any,200,hand_neg,capture_0.2,holdout,0.5854700854700855,4
any,200,hand_neg,cell_auc,all,0.8415933948327567,10
any,200,hand_neg,cell_auc,development,0.8582157923536937,6
any,200,hand_neg,cell_auc,holdout,0.7980448019005926,4
any,200,hand_neg,object_auc,all,0.8533164889520586,10
any,200,hand_neg,object_auc,development,0.8743505977351085,6
any,200,hand_neg,object_auc,holdout,0.8113057138364488,4
any,200,impervious,capture_0.2,all,0.7042483660130718,10
any,200,impervious,capture_0.2,development,0.5666666666666667,6
any,200,impervious,capture_0.2,holdout,0.8611111111111112,4
any,200,impervious,cell_auc,all,0.8099514827431569,10
any,200,impervious,cell_auc,development,0.7768680043618874,6
any,200,impervious,cell_auc,holdout,0.8474105944297988,4
any,200,impervious,object_auc,all,0.8525823334852382,10
any,200,impervious,object_auc,development,0.7999871720337004,6
any,200,impervious,object_auc,holdout,0.8840885472769805,4
any,200,logit_F1_wf,capture_0.2,all,0.6947194719471947,9
any,200,logit_F1_wf,capture_0.2,development,0.7368421052631579,5
any,200,logit_F1_wf,capture_0.2,holdout,0.652915291529153,4
any,200,logit_F1_wf,cell_auc,all,0.831415360904187,9
any,200,logit_F1_wf,cell_auc,development,0.834189643997147,5
any,200,logit_F1_wf,cell_auc,holdout,0.8292613073621702,4
any,200,logit_F1_wf,object_auc,all,0.8387715517241379,9
any,200,logit_F1_wf,object_auc,development,0.8503159510123148,5
any,200,logit_F1_wf,object_auc,holdout,0.8367212545039694,4
any,200,relelev_neg,capture_0.2,all,0.010869565217391304,10
any,200,relelev_neg,capture_0.2,development,0.010869565217391304,6
any,200,relelev_neg,capture_0.2,holdout,0.052805280528052806,4
any,200,relelev_neg,cell_auc,all,0.576619348367772,10
any,200,relelev_neg,cell_auc,development,0.5550275482518108,6
any,200,relelev_neg,cell_auc,holdout,0.5957809878081813,4
any,200,relelev_neg,object_auc,all,0.6022918712176677,10
any,200,relelev_neg,object_auc,development,0.5820275502524085,6
any,200,relelev_neg,object_auc,holdout,0.6024503704167147,4
any,200,rf_F1_wf,capture_0.2,all,0.7222222222222222,9
any,200,rf_F1_wf,capture_0.2,development,0.8289473684210527,5
any,200,rf_F1_wf,capture_0.2,holdout,0.6886688668866887,4
any,200,rf_F1_wf,cell_auc,all,0.8452921197591118,9
any,200,rf_F1_wf,cell_auc,development,0.8384771689307327,5
any,200,rf_F1_wf,cell_auc,holdout,0.8460262837218395,4
any,200,rf_F1_wf,object_auc,all,0.8581107726309745,9
any,200,rf_F1_wf,object_auc,development,0.8581107726309745,5
any,200,rf_F1_wf,object_auc,holdout,0.8535681164241022,4
any,200,slope_neg,capture_0.2,all,0.7355927900482355,10
any,200,slope_neg,capture_0.2,development,0.7991990846681922,6
any,200,slope_neg,capture_0.2,holdout,0.6239316239316239,4
any,200,slope_neg,cell_auc,all,0.8385406209773614,10
any,200,slope_neg,cell_auc,development,0.8585453586244318,6
any,200,slope_neg,cell_auc,holdout,0.8243535964447466,4
any,200,slope_neg,object_auc,all,0.8309368771954202,10
any,200,slope_neg,object_auc,development,0.8683566062020786,6
any,200,slope_neg,object_auc,holdout,0.8058410157751102,4
any,200,twi,capture_0.2,all,0.6542397660818713,10
any,200,twi,capture_0.2,development,0.7073798627002288,6
any,200,twi,capture_0.2,holdout,0.5363247863247864,4
any,200,twi,cell_auc,all,0.8382076923511532,10
any,200,twi,cell_auc,development,0.8455834096626269,6
any,200,twi,cell_auc,holdout,0.7976714950712174,4
any,200,twi,object_auc,all,0.8334313407346566,10
any,200,twi,object_auc,development,0.8580818962793137,6
any,200,twi,object_auc,holdout,0.8024780996134641,4
any,200,z_sensitivity,capture_0.2,all,0.6450980392156862,10
any,200,z_sensitivity,capture_0.2,development,0.6450980392156862,6
any,200,z_sensitivity,capture_0.2,holdout,0.6623931623931625,4
any,200,z_sensitivity,cell_auc,all,0.8223718099340142,10
any,200,z_sensitivity,cell_auc,development,0.8240309632237426,6
any,200,z_sensitivity,cell_auc,holdout,0.8223718099340142,4
any,200,z_sensitivity,object_auc,all,0.838831592575668,10
any,200,z_sensitivity,object_auc,development,0.8289934645911844,6
any,200,z_sensitivity,object_auc,holdout,0.8444379163731963,4
any,500,L1,capture_0.2,all,0.42107371794871795,10
any,500,L1,capture_0.2,development,0.42107371794871795,6
any,500,L1,capture_0.2,holdout,0.4125,4
any,500,L1,cell_auc,all,0.7192146757796551,10
any,500,L1,cell_auc,development,0.7417574181624065,6
any,500,L1,cell_auc,holdout,0.678960550135434,4
any,500,L1,object_auc,all,0.7481233819579232,10
any,500,L1,object_auc,development,0.7635895226974045,6
any,500,L1,object_auc,holdout,0.7125993894387825,4
any,500,hand_acc_neg,capture_0.2,all,0.6928030303030304,10
any,500,hand_acc_neg,capture_0.2,development,0.7178030303030303,6
any,500,hand_acc_neg,capture_0.2,holdout,0.5386363636363636,4
any,500,hand_acc_neg,cell_auc,all,0.807596640383043,10
any,500,hand_acc_neg,cell_auc,development,0.815024815025967,6
any,500,hand_acc_neg,cell_auc,holdout,0.7607676671468239,4
any,500,hand_acc_neg,object_auc,all,0.8169628444198229,10
any,500,hand_acc_neg,object_auc,development,0.8387426814973887,6
any,500,hand_acc_neg,object_auc,holdout,0.8169628444198229,4
any,500,hand_neg,capture_0.2,all,0.6568181818181817,10
any,500,hand_neg,capture_0.2,development,0.6723484848484849,6
