role_group,rule,size_m,group,level,n,n_survive,median_area_m2,survival,n_outside_domain
development,any,200,area_bin,1k-5k,41,41,2880.8243044236187,1.0,1.0
development,any,200,area_bin,5k-20k,33,33,8400.46951792811,1.0,1.0
development,any,200,area_bin,>=20k,58,58,49811.22940251715,1.0,1.0
development,f01,200,area_bin,1k-5k,41,41,2880.8243044236187,1.0,1.0
development,f01,200,area_bin,5k-20k,33,33,8400.46951792811,1.0,1.0
development,f01,200,area_bin,>=20k,58,58,49811.22940251715,1.0,1.0
development,f10,200,area_bin,1k-5k,41,22,2880.8243044236187,0.5365853658536586,1.0
development,f10,200,area_bin,5k-20k,33,32,8400.46951792811,0.9696969696969697,1.0
development,f10,200,area_bin,>=20k,58,58,49811.22940251715,1.0,1.0
development,f25,200,area_bin,1k-5k,41,6,2880.8243044236187,0.14634146341463414,1.0
development,f25,200,area_bin,5k-20k,33,22,8400.46951792811,0.6666666666666666,1.0
development,f25,200,area_bin,>=20k,58,58,49811.22940251715,1.0,1.0
development,f50,200,area_bin,1k-5k,41,2,2880.8243044236187,0.04878048780487805,1.0
development,f50,200,area_bin,5k-20k,33,9,8400.46951792811,0.2727272727272727,1.0
development,f50,200,area_bin,>=20k,58,55,49811.22940251715,0.9482758620689655,1.0
development,center,200,area_bin,1k-5k,41,13,2880.8243044236187,0.3170731707317073,1.0
development,center,200,area_bin,5k-20k,33,15,8400.46951792811,0.45454545454545453,1.0
development,center,200,area_bin,>=20k,58,56,49811.22940251715,0.9655172413793104,1.0
development,rep_point,200,area_bin,1k-5k,41,40,2880.8243044236187,0.975609756097561,1.0
development,rep_point,200,area_bin,5k-20k,33,33,8400.46951792811,1.0,1.0
development,rep_point,200,area_bin,>=20k,58,58,49811.22940251715,1.0,1.0
development,soft,200,area_bin,1k-5k,41,41,2880.8243044236187,1.0,1.0
development,soft,200,area_bin,5k-20k,33,33,8400.46951792811,1.0,1.0
development,soft,200,area_bin,>=20k,58,58,49811.22940251715,1.0,1.0
development,any,500,area_bin,1k-5k,41,41,2880.8243044236187,1.0,1.0
development,any,500,area_bin,5k-20k,33,33,8400.46951792811,1.0,1.0
development,any,500,area_bin,>=20k,58,58,49811.22940251715,1.0,1.0
development,f01,500,area_bin,1k-5k,41,33,2880.8243044236187,0.8048780487804879,1.0
development,f01,500,area_bin,5k-20k,33,33,8400.46951792811,1.0,1.0
development,f01,500,area_bin,>=20k,58,58,49811.22940251715,1.0,1.0
development,f10,500,area_bin,1k-5k,41,6,2880.8243044236187,0.14634146341463414,1.0
development,f10,500,area_bin,5k-20k,33,15,8400.46951792811,0.45454545454545453,1.0
development,f10,500,area_bin,>=20k,58,56,49811.22940251715,0.9655172413793104,1.0
development,f25,500,area_bin,1k-5k,41,3,2880.8243044236187,0.07317073170731707,1.0
development,f25,500,area_bin,5k-20k,33,12,8400.46951792811,0.36363636363636365,1.0
development,f25,500,area_bin,>=20k,58,47,49811.22940251715,0.8103448275862069,1.0
development,f50,500,area_bin,1k-5k,41,2,2880.8243044236187,0.04878048780487805,1.0
development,f50,500,area_bin,5k-20k,33,5,8400.46951792811,0.15151515151515152,1.0
development,f50,500,area_bin,>=20k,58,32,49811.22940251715,0.5517241379310345,1.0
development,center,500,area_bin,1k-5k,41,4,2880.8243044236187,0.0975609756097561,1.0
development,center,500,area_bin,5k-20k,33,10,8400.46951792811,0.30303030303030304,1.0
development,center,500,area_bin,>=20k,58,41,49811.22940251715,0.7068965517241379,1.0
development,rep_point,500,area_bin,1k-5k,41,40,2880.8243044236187,0.975609756097561,1.0
development,rep_point,500,area_bin,5k-20k,33,33,8400.46951792811,1.0,1.0
development,rep_point,500,area_bin,>=20k,58,58,49811.22940251715,1.0,1.0
development,soft,500,area_bin,1k-5k,41,41,2880.8243044236187,1.0,1.0
development,soft,500,area_bin,5k-20k,33,33,8400.46951792811,1.0,1.0
development,soft,500,area_bin,>=20k,58,58,49811.22940251715,1.0,1.0
development,any,1000,area_bin,1k-5k,41,41,2880.8243044236187,1.0,1.0
development,any,1000,area_bin,5k-20k,33,33,8400.46951792811,1.0,1.0
development,any,1000,area_bin,>=20k,58,58,49811.22940251715,1.0,1.0
development,f01,1000,area_bin,1k-5k,41,19,2880.8243044236187,0.4634146341463415,1.0
development,f01,1000,area_bin,5k-20k,33,30,8400.46951792811,0.9090909090909091,1.0
development,f01,1000,area_bin,>=20k,58,58,49811.22940251715,1.0,1.0
development,f10,1000,area_bin,1k-5k,41,4,2880.8243044236187,0.0975609756097561,1.0
development,f10,1000,area_bin,5k-20k,33,12,8400.46951792811,0.36363636363636365,1.0
development,f10,1000,area_bin,>=20k,58,51,49811.22940251715,0.8793103448275862,1.0
development,f25,1000,area_bin,1k-5k,41,0,2880.8243044236187,0.0,1.0
development,f25,1000,area_bin,5k-20k,33,3,8400.46951792811,0.09090909090909091,1.0
development,f25,1000,area_bin,>=20k,58,21,49811.22940251715,0.3620689655172414,1.0
development,f50,1000,area_bin,1k-5k,41,0,2880.8243044236187,0.0,1.0
development,f50,1000,area_bin,5k-20k,33,0,8400.46951792811,0.0,1.0
development,f50,1000,area_bin,>=20k,58,0,49811.22940251715,0.0,1.0
development,center,1000,area_bin,1k-5k,41,1,2880.8243044236187,0.024390243902439025,1.0
development,center,1000,area_bin,5k-20k,33,5,8400.46951792811,0.15151515151515152,1.0
development,center,1000,area_bin,>=20k,58,13,49811.22940251715,0.22413793103448276,1.0
development,rep_point,1000,area_bin,1k-5k,41,40,2880.8243044236187,0.975609756097561,1.0
development,rep_point,1000,area_bin,5k-20k,33,33,8400.46951792811,1.0,1.0
development,rep_point,1000,area_bin,>=20k,58,58,49811.22940251715,1.0,1.0
development,soft,1000,area_bin,1k-5k,41,41,2880.8243044236187,1.0,1.0
development,soft,1000,area_bin,5k-20k,33,33,8400.46951792811,1.0,1.0
development,soft,1000,area_bin,>=20k,58,58,49811.22940251715,1.0,1.0
development,any,100,area_bin,<500,3,3,363.24784811547994,1.0,1.0
development,any,100,area_bin,500-1k,7,7,673.1444724002376,1.0,1.0
development,f01,100,area_bin,<500,3,3,363.24784811547994,1.0,1.0
development,f01,100,area_bin,500-1k,7,7,673.1444724002376,1.0,1.0
development,f10,100,area_bin,<500,3,1,363.24784811547994,0.3333333333333333,1.0
development,f10,100,area_bin,500-1k,7,4,673.1444724002376,0.5714285714285714,1.0
development,f25,100,area_bin,<500,3,1,363.24784811547994,0.3333333333333333,1.0
development,f25,100,area_bin,500-1k,7,1,673.1444724002376,0.14285714285714285,1.0
development,f50,100,area_bin,<500,3,1,363.24784811547994,0.3333333333333333,1.0
development,f50,100,area_bin,500-1k,7,0,673.1444724002376,0.0,1.0
development,center,100,area_bin,<500,3,1,363.24784811547994,0.3333333333333333,1.0
development,center,100,area_bin,500-1k,7,3,673.1444724002376,0.42857142857142855,1.0
development,rep_point,100,area_bin,<500,3,3,363.24784811547994,1.0,1.0
development,rep_point,100,area_bin,500-1k,7,7,673.1444724002376,1.0,1.0
development,soft,100,area_bin,<500,3,3,363.24784811547994,1.0,1.0
development,soft,100,area_bin,500-1k,7,7,673.1444724002376,1.0,1.0
development,any,200,area_bin,<500,3,3,363.24784811547994,1.0,1.0
development,any,200,area_bin,500-1k,7,7,673.1444724002376,1.0,1.0
development,f01,200,area_bin,<500,3,2,363.24784811547994,0.6666666666666666,1.0
development,f01,200,area_bin,500-1k,7,7,673.1444724002376,1.0,1.0
development,f10,200,area_bin,<500,3,1,363.24784811547994,0.3333333333333333,1.0
development,f10,200,area_bin,500-1k,7,1,673.1444724002376,0.14285714285714285,1.0
development,f25,200,area_bin,<500,3,1,363.24784811547994,0.3333333333333333,1.0
development,f25,200,area_bin,500-1k,7,0,673.1444724002376,0.0,1.0
development,f50,200,area_bin,<500,3,0,363.24784811547994,0.0,1.0
development,f50,200,area_bin,500-1k,7,0,673.1444724002376,0.0,1.0
development,center,200,area_bin,<500,3,1,363.24784811547994,0.3333333333333333,1.0
development,center,200,area_bin,500-1k,7,0,673.1444724002376,0.0,1.0
development,rep_point,200,area_bin,<500,3,3,363.24784811547994,1.0,1.0
development,rep_point,200,area_bin,500-1k,7,7,673.1444724002376,1.0,1.0
development,soft,200,area_bin,<500,3,3,363.24784811547994,1.0,1.0
development,soft,200,area_bin,500-1k,7,7,673.1444724002376,1.0,1.0
development,any,500,area_bin,<500,3,3,363.24784811547994,1.0,1.0
development,any,500,area_bin,500-1k,7,7,673.1444724002376,1.0,1.0
development,f01,500,area_bin,<500,3,2,363.24784811547994,0.6666666666666666,1.0
development,f01,500,area_bin,500-1k,7,3,673.1444724002376,0.42857142857142855,1.0
development,f10,500,area_bin,<500,3,0,363.24784811547994,0.0,1.0
development,f10,500,area_bin,500-1k,7,1,673.1444724002376,0.14285714285714285,1.0
development,f25,500,area_bin,<500,3,0,363.24784811547994,0.0,1.0
development,f25,500,area_bin,500-1k,7,1,673.1444724002376,0.14285714285714285,1.0
development,f50,500,area_bin,<500,3,0,363.24784811547994,0.0,1.0
development,f50,500,area_bin,500-1k,7,0,673.1444724002376,0.0,1.0
development,center,500,area_bin,<500,3,0,363.24784811547994,0.0,1.0
development,center,500,area_bin,500-1k,7,0,673.1444724002376,0.0,1.0
development,rep_point,500,area_bin,<500,3,3,363.24784811547994,1.0,1.0
development,rep_point,500,area_bin,500-1k,7,7,673.1444724002376,1.0,1.0
development,soft,500,area_bin,<500,3,3,363.24784811547994,1.0,1.0
development,soft,500,area_bin,500-1k,7,7,673.1444724002376,1.0,1.0
development,any,1000,area_bin,<500,3,3,363.24784811547994,1.0,1.0
development,any,1000,area_bin,500-1k,7,7,673.1444724002376,1.0,1.0
development,f01,1000,area_bin,<500,3,2,363.24784811547994,0.6666666666666666,1.0
development,f01,1000,area_bin,500-1k,7,2,673.1444724002376,0.2857142857142857,1.0
development,f10,1000,area_bin,<500,3,0,363.24784811547994,0.0,1.0
development,f10,1000,area_bin,500-1k,7,1,673.1444724002376,0.14285714285714285,1.0
development,f25,1000,area_bin,<500,3,0,363.24784811547994,0.0,1.0
development,f25,1000,area_bin,500-1k,7,0,673.1444724002376,0.0,1.0
development,f50,1000,area_bin,<500,3,0,363.24784811547994,0.0,1.0
development,f50,1000,area_bin,500-1k,7,0,673.1444724002376,0.0,1.0
development,center,1000,area_bin,<500,3,0,363.24784811547994,0.0,1.0
development,center,1000,area_bin,500-1k,7,0,673.1444724002376,0.0,1.0
development,rep_point,1000,area_bin,<500,3,3,363.24784811547994,1.0,1.0
development,rep_point,1000,area_bin,500-1k,7,7,673.1444724002376,1.0,1.0
development,soft,1000,area_bin,<500,3,3,363.24784811547994,1.0,1.0
development,soft,1000,area_bin,500-1k,7,7,673.1444724002376,1.0,1.0
holdout,any,100,area_bin,<500,54,54,239.9485108197684,1.0,0.0
holdout,f01,100,area_bin,<500,54,47,239.9485108197684,0.8703703703703703,0.0
holdout,f10,100,area_bin,<500,54,5,239.9485108197684,0.09259259259259259,0.0
holdout,f25,100,area_bin,<500,54,0,239.9485108197684,0.0,0.0
holdout,f50,100,area_bin,<500,54,0,239.9485108197684,0.0,0.0
holdout,center,100,area_bin,<500,54,2,239.9485108197684,0.037037037037037035,0.0
holdout,rep_point,100,area_bin,<500,54,54,239.9485108197684,1.0,0.0
holdout,soft,100,area_bin,<500,54,54,239.9485108197684,1.0,0.0
holdout,any,200,area_bin,<500,54,54,239.9485108197684,1.0,0.0
holdout,f01,200,area_bin,<500,54,17,239.9485108197684,0.3148148148148148,0.0
holdout,f10,200,area_bin,<500,54,0,239.9485108197684,0.0,0.0
holdout,f25,200,area_bin,<500,54,0,239.9485108197684,0.0,0.0
holdout,f50,200,area_bin,<500,54,0,239.9485108197684,0.0,0.0
holdout,center,200,area_bin,<500,54,0,239.9485108197684,0.0,0.0
holdout,rep_point,200,area_bin,<500,54,54,239.9485108197684,1.0,0.0
holdout,soft,200,area_bin,<500,54,54,239.9485108197684,1.0,0.0
holdout,any,500,area_bin,<500,54,54,239.9485108197684,1.0,0.0
holdout,f01,500,area_bin,<500,54,11,239.9485108197684,0.2037037037037037,0.0
holdout,f10,500,area_bin,<500,54,0,239.9485108197684,0.0,0.0
holdout,f25,500,area_bin,<500,54,0,239.9485108197684,0.0,0.0
holdout,f50,500,area_bin,<500,54,0,239.9485108197684,0.0,0.0
holdout,center,500,area_bin,<500,54,0,239.9485108197684,0.0,0.0
holdout,rep_point,500,area_bin,<500,54,54,239.9485108197684,1.0,0.0
holdout,soft,500,area_bin,<500,54,54,239.9485108197684,1.0,0.0
holdout,any,1000,area_bin,<500,54,54,239.9485108197684,1.0,0.0
holdout,f01,1000,area_bin,<500,54,0,239.9485108197684,0.0,0.0
holdout,f10,1000,area_bin,<500,54,0,239.9485108197684,0.0,0.0
holdout,f25,1000,area_bin,<500,54,0,239.9485108197684,0.0,0.0
holdout,f50,1000,area_bin,<500,54,0,239.9485108197684,0.0,0.0
holdout,center,1000,area_bin,<500,54,0,239.9485108197684,0.0,0.0
holdout,rep_point,1000,area_bin,<500,54,54,239.9485108197684,1.0,0.0
holdout,soft,1000,area_bin,<500,54,54,239.9485108197684,1.0,0.0
holdout,any,100,area_bin,5k-20k,39,39,9089.151108118462,1.0,0.0
holdout,any,100,area_bin,>=20k,54,54,53972.90840614471,1.0,0.0
holdout,f01,100,area_bin,5k-20k,39,39,9089.151108118462,1.0,0.0
holdout,f01,100,area_bin,>=20k,54,54,53972.90840614471,1.0,0.0
holdout,f10,100,area_bin,5k-20k,39,39,9089.151108118462,1.0,0.0
holdout,f10,100,area_bin,>=20k,54,54,53972.90840614471,1.0,0.0
holdout,f25,100,area_bin,5k-20k,39,38,9089.151108118462,0.9743589743589743,0.0
holdout,f25,100,area_bin,>=20k,54,54,53972.90840614471,1.0,0.0
holdout,f50,100,area_bin,5k-20k,39,26,9089.151108118462,0.6666666666666666,0.0
holdout,f50,100,area_bin,>=20k,54,54,53972.90840614471,1.0,0.0
holdout,center,100,area_bin,5k-20k,39,31,9089.151108118462,0.7948717948717948,0.0
holdout,center,100,area_bin,>=20k,54,54,53972.90840614471,1.0,0.0
holdout,rep_point,100,area_bin,5k-20k,39,39,9089.151108118462,1.0,0.0
holdout,rep_point,100,area_bin,>=20k,54,54,53972.90840614471,1.0,0.0
holdout,soft,100,area_bin,5k-20k,39,39,9089.151108118462,1.0,0.0
holdout,soft,100,area_bin,>=20k,54,54,53972.90840614471,1.0,0.0
holdout,any,200,area_bin,5k-20k,39,39,9089.151108118462,1.0,0.0
holdout,any,200,area_bin,>=20k,54,54,53972.90840614471,1.0,0.0
holdout,f01,200,area_bin,5k-20k,39,39,9089.151108118462,1.0,0.0
holdout,f01,200,area_bin,>=20k,54,54,53972.90840614471,1.0,0.0
holdout,f10,200,area_bin,5k-20k,39,37,9089.151108118462,0.9487179487179487,0.0
holdout,f10,200,area_bin,>=20k,54,54,53972.90840614471,1.0,0.0
holdout,f25,200,area_bin,5k-20k,39,26,9089.151108118462,0.6666666666666666,0.0
holdout,f25,200,area_bin,>=20k,54,53,53972.90840614471,0.9814814814814815,0.0
holdout,f50,200,area_bin,5k-20k,39,11,9089.151108118462,0.28205128205128205,0.0
holdout,f50,200,area_bin,>=20k,54,42,53972.90840614471,0.7777777777777778,0.0
holdout,center,200,area_bin,5k-20k,39,21,9089.151108118462,0.5384615384615384,0.0
holdout,center,200,area_bin,>=20k,54,49,53972.90840614471,0.9074074074074074,0.0
holdout,rep_point,200,area_bin,5k-20k,39,39,9089.151108118462,1.0,0.0
holdout,rep_point,200,area_bin,>=20k,54,54,53972.90840614471,1.0,0.0
holdout,soft,200,area_bin,5k-20k,39,39,9089.151108118462,1.0,0.0
holdout,soft,200,area_bin,>=20k,54,54,53972.90840614471,1.0,0.0
holdout,any,500,area_bin,5k-20k,39,39,9089.151108118462,1.0,0.0
holdout,any,500,area_bin,>=20k,54,54,53972.90840614471,1.0,0.0
holdout,f01,500,area_bin,5k-20k,39,39,9089.151108118462,1.0,0.0
holdout,f01,500,area_bin,>=20k,54,54,53972.90840614471,1.0,0.0
holdout,f10,500,area_bin,5k-20k,39,23,9089.151108118462,0.5897435897435898,0.0
holdout,f10,500,area_bin,>=20k,54,50,53972.90840614471,0.9259259259259259,0.0
holdout,f25,500,area_bin,5k-20k,39,11,9089.151108118462,0.28205128205128205,0.0
holdout,f25,500,area_bin,>=20k,54,41,53972.90840614471,0.7592592592592593,0.0
holdout,f50,500,area_bin,5k-20k,39,4,9089.151108118462,0.10256410256410256,0.0
holdout,f50,500,area_bin,>=20k,54,24,53972.90840614471,0.4444444444444444,0.0
holdout,center,500,area_bin,5k-20k,39,14,9089.151108118462,0.358974358974359,0.0
holdout,center,500,area_bin,>=20k,54,35,53972.90840614471,0.6481481481481481,0.0
holdout,rep_point,500,area_bin,5k-20k,39,39,9089.151108118462,1.0,0.0
holdout,rep_point,500,area_bin,>=20k,54,54,53972.90840614471,1.0,0.0
holdout,soft,500,area_bin,5k-20k,39,39,9089.151108118462,1.0,0.0
holdout,soft,500,area_bin,>=20k,54,54,53972.90840614471,1.0,0.0
holdout,any,1000,area_bin,5k-20k,39,39,9089.151108118462,1.0,0.0
holdout,any,1000,area_bin,>=20k,54,54,53972.90840614471,1.0,0.0
holdout,f01,1000,area_bin,5k-20k,39,34,9089.151108118462,0.8717948717948718,0.0
holdout,f01,1000,area_bin,>=20k,54,54,53972.90840614471,1.0,0.0
holdout,f10,1000,area_bin,5k-20k,39,18,9089.151108118462,0.46153846153846156,0.0
holdout,f10,1000,area_bin,>=20k,54,40,53972.90840614471,0.7407407407407407,0.0
holdout,f25,1000,area_bin,5k-20k,39,2,9089.151108118462,0.05128205128205128,0.0
holdout,f25,1000,area_bin,>=20k,54,18,53972.90840614471,0.3333333333333333,0.0
holdout,f50,1000,area_bin,5k-20k,39,2,9089.151108118462,0.05128205128205128,0.0
holdout,f50,1000,area_bin,>=20k,54,15,53972.90840614471,0.2777777777777778,0.0
holdout,center,1000,area_bin,5k-20k,39,3,9089.151108118462,0.07692307692307693,0.0
holdout,center,1000,area_bin,>=20k,54,18,53972.90840614471,0.3333333333333333,0.0
holdout,rep_point,1000,area_bin,5k-20k,39,39,9089.151108118462,1.0,0.0
holdout,rep_point,1000,area_bin,>=20k,54,54,53972.90840614471,1.0,0.0
holdout,soft,1000,area_bin,5k-20k,39,39,9089.151108118462,1.0,0.0
holdout,soft,1000,area_bin,>=20k,54,54,53972.90840614471,1.0,0.0
holdout,any,100,area_bin,500-1k,13,13,596.8249803514503,1.0,0.0
holdout,any,100,area_bin,1k-5k,36,36,2326.0280791693845,1.0,0.0
holdout,f01,100,area_bin,500-1k,13,13,596.8249803514503,1.0,0.0
holdout,f01,100,area_bin,1k-5k,36,36,2326.0280791693845,1.0,0.0
